-il,_it,_el,_et,pca_3,pca_2,pca_1
0.00174,0.0003965,0.003725,0.00158,0.0083741,0.068528,0.12616
0.0019831,0.0003965,0.003725,0.00158,-0.01346,0.045962,0.13227
0.00257,0.0003965,0.003725,0.00158,-0.075136,-0.0016879,0.14531
0.0031569,0.0003965,0.003725,0.00158,-0.14444,-0.041597,0.1564
0.0034,0.0003965,0.003725,0.00158,-0.17433,-0.056283,0.16053
0.00174,0.000193,0.003725,0.00158,-0.088792,-0.075539,0.09885
0.00174,0.0006,0.003725,0.00158,0.063243,0.18509,0.14874
0.00257,0.000193,0.003725,0.00158,-0.20963,-0.14655,0.11856
0.00257,0.0006,0.003725,0.00158,0.012379,0.11568,0.1674
0.0034,0.000193,0.003725,0.00158,-0.33857,-0.2017,0.13421
0.0034,0.0006,0.003725,0.00158,-0.060748,0.061623,0.18223
0.00174,0.0003965,0.0012,0.00158,0.32662,-0.12796,0.17494
0.00174,0.0003965,0.00625,0.00158,0.035313,0.14548,0.10574
0.00257,0.0003965,0.0012,0.00158,0.18148,-0.20121,0.19542
0.00257,0.0003965,0.00625,0.00158,-0.052951,0.087651,0.12171
0.0034,0.0003965,0.0012,0.00158,0.010175,-0.24996,0.20969
0.0034,0.0003965,0.00625,0.00158,-0.14491,0.039428,0.13521
0.00174,0.0003965,0.003725,0.0008,0.10249,0.27271,0.16578
0.00174,0.0003965,0.003725,0.00236,0.072678,-0.017094,0.10725
0.00257,0.0003965,0.003725,0.0008,-0.021826,0.20181,0.18552
0.00257,0.0003965,0.003725,0.00236,0.02556,-0.086559,0.12588
0.0034,0.0003965,0.003725,0.0008,-0.14586,0.14698,0.20108
0.0034,0.0003965,0.003725,0.00236,-0.049005,-0.14084,0.14078
0.00257,0.0002526,0.003725,0.00158,-0.1642,-0.10072,0.12697
0.00257,0.0005404,0.003725,0.00158,-0.0093452,0.083687,0.16134
0.00257,0.000193,0.0012,0.00158,0.073459,-0.34601,0.16838
0.00257,0.000193,0.00625,0.00158,-0.21426,-0.0576,0.095336
0.00257,0.0006,0.0012,0.00158,0.25056,-0.083895,0.21769
0.00257,0.0006,0.00625,0.00158,0.055871,0.20539,0.14349
0.00257,0.000193,0.003725,0.0008,-0.3096,-0.01577,0.14681
0.00257,0.000193,0.003725,0.00236,-0.039635,-0.19363,0.10548
0.00257,0.0006,0.003725,0.0008,0.13625,0.35543,0.21364
0.00257,0.0006,0.003725,0.00236,0.069164,0.0054643,0.14368
0.00257,0.0003965,0.0019396,0.00158,0.036225,-0.12111,0.17566
0.00257,0.0003965,0.0055104,0.00158,-0.06769,0.067033,0.12724
0.00257,0.0003965,0.0012,0.0008,-0.12221,-0.0082571,0.24147
0.00257,0.0003965,0.0012,0.00236,0.49203,-0.27741,0.1719
0.00257,0.0003965,0.00625,0.0008,0.16263,0.29435,0.15951
0.00257,0.0003965,0.00625,0.00236,-0.054187,-0.00018093,0.10393
0.00257,0.0003965,0.003725,0.0010285,-0.076118,0.11841,0.16968
0.00257,0.0003965,0.003725,0.0021315,-0.0080936,-0.06748,0.13052
