cond1,cond2,cond3,cond4,runWeight
0.00174,0.0003965,0.003725,0.00158,0.068266
0.0018032,0.0003965,0.003725,0.00158,0.069149
0.0019831,0.0003965,0.003725,0.00158,0.071571
0.0022524,0.0003965,0.003725,0.00158,0.074958
0.00257,0.0003965,0.003725,0.00158,0.078628
0.0028876,0.0003965,0.003725,0.00158,0.08199
0.0031569,0.0003965,0.003725,0.00158,0.084628
0.0033368,0.0003965,0.003725,0.00158,0.086293
0.0034,0.0003965,0.003725,0.00158,0.086862
0.00174,0.000193,0.003725,0.00158,0.053485
0.00174,0.0006,0.003725,0.00158,0.080488
0.0019831,0.000193,0.003725,0.00158,0.056887
0.0019831,0.0006,0.003725,0.00158,0.083706
0.00257,0.000193,0.003725,0.00158,0.064149
0.00257,0.0006,0.003725,0.00158,0.090581
0.0031569,0.000193,0.003725,0.00158,0.07032
0.0031569,0.0006,0.003725,0.00158,0.096428
0.0034,0.000193,0.003725,0.00158,0.072615
0.0034,0.0006,0.003725,0.00158,0.098604
0.00174,0.0003965,0.0012,0.00158,0.094663
0.00174,0.0003965,0.00625,0.00158,0.057218
0.0019831,0.0003965,0.0012,0.00158,0.098384
0.0019831,0.0003965,0.00625,0.00158,0.059908
0.00257,0.0003965,0.0012,0.00158,0.10574
0.00257,0.0003965,0.00625,0.00158,0.065858
0.0031569,0.0003965,0.0012,0.00158,0.11144
0.0031569,0.0003965,0.00625,0.00158,0.071142
0.0034,0.0003965,0.0012,0.00158,0.11346
0.0034,0.0003965,0.00625,0.00158,0.073161
0.00174,0.0003965,0.003725,0.0008,0.089707
0.00174,0.0003965,0.003725,0.00236,0.058035
0.0019831,0.0003965,0.003725,0.0008,0.093123
0.0019831,0.0003965,0.003725,0.00236,0.061243
0.00257,0.0003965,0.003725,0.0008,0.10039
0.00257,0.0003965,0.003725,0.00236,0.068115
0.0031569,0.0003965,0.003725,0.0008,0.10653
0.0031569,0.0003965,0.003725,0.00236,0.073982
0.0034,0.0003965,0.003725,0.0008,0.1088
0.0034,0.0003965,0.003725,0.00236,0.07617
0.00174,0.0002526,0.003725,0.00158,0.058128
0.00174,0.0005404,0.003725,0.00158,0.077131
0.00257,0.0002526,0.003725,0.00158,0.0687
0.00257,0.0005404,0.003725,0.00158,0.0873
0.0034,0.0002526,0.003725,0.00158,0.077094
0.0034,0.0005404,0.003725,0.00158,0.095382
0.00174,0.000193,0.0012,0.00158,0.079554
0.00174,0.000193,0.00625,0.00158,0.042736
0.00174,0.0006,0.0012,0.00158,0.10714
0.00174,0.0006,0.00625,0.00158,0.069189
0.00257,0.000193,0.0012,0.00158,0.091106
0.00257,0.000193,0.00625,0.00158,0.051583
0.00257,0.0006,0.0012,0.00158,0.11779
0.00257,0.0006,0.00625,0.00158,0.077644
0.0034,0.000193,0.0012,0.00158,0.099148
0.0034,0.000193,0.00625,0.00158,0.059059
0.0034,0.0006,0.0012,0.00158,0.12523
0.0034,0.0006,0.00625,0.00158,0.084793
0.00174,0.000193,0.003725,0.0008,0.068344
0.00174,0.000193,0.003725,0.00236,0.04675
0.00174,0.0006,0.003725,0.0008,0.10527
0.00174,0.0006,0.003725,0.00236,0.06789
0.00257,0.000193,0.003725,0.0008,0.079437
0.00257,0.000193,0.003725,0.00236,0.057073
0.00257,0.0006,0.003725,0.0008,0.11561
0.00257,0.0006,0.003725,0.00236,0.077745
0.0034,0.000193,0.003725,0.0008,0.08817
0.0034,0.000193,0.003725,0.00236,0.065319
0.0034,0.0006,0.003725,0.0008,0.12376
0.0034,0.0006,0.003725,0.00236,0.085626
0.00174,0.0003965,0.0019396,0.00158,0.083707
0.00174,0.0003965,0.0055104,0.00158,0.059741
0.00257,0.0003965,0.0019396,0.00158,0.095047
0.00257,0.0003965,0.0055104,0.00158,0.068852
