_il,_it,_el,_et,fBD_j2_0.5,fBD_j2_0.75,fBD_j3_0.5,fBD_j3_0.75
0.00174,0.0003965,0.003725,0.00158,0.39179,0.39914,0.59395,0.59395
0.0019831,0.0003965,0.003725,0.00158,0.46043,0.4485,0.66376,0.66376
0.00257,0.0003965,0.003725,0.00158,0.49068,0.49024,0.72937,0.72937
0.0031569,0.0003965,0.003725,0.00158,0.48156,0.48728,0.72841,0.72841
0.0034,0.0003965,0.003725,0.00158,0.47261,0.46851,0.70355,0.70355
0.00174,0.000193,0.003725,0.00158,0.15213,0.15626,0.23204,0.23204
0.00174,0.0006,0.003725,0.00158,0.3887,0.38799,0.57988,0.57988
0.00257,0.000193,0.003725,0.00158,0.19141,0.20517,0.29697,0.29697
0.00257,0.0006,0.003725,0.00158,0.42647,0.43371,0.63747,0.63747
0.0034,0.000193,0.003725,0.00158,0.19291,0.19305,0.29445,0.29445
0.0034,0.0006,0.003725,0.00158,0.4096,0.4158,0.6202,0.6202
0.00174,0.0003965,0.0012,0.00158,0.40622,0.41074,0.613,0.613
0.00174,0.0003965,0.00625,0.00158,0.30138,0.29207,0.44367,0.44367
0.00257,0.0003965,0.0012,0.00158,0.32479,0.34217,0.51765,0.51765
0.00257,0.0003965,0.00625,0.00158,0.39957,0.39099,0.58605,0.58605
0.0034,0.0003965,0.0012,0.00158,0.28678,0.2828,0.42389,0.42389
0.0034,0.0003965,0.00625,0.00158,0.49333,0.47864,0.72137,0.72137
0.00174,0.0003965,0.003725,0.0008,0.24411,0.2613,0.37902,0.37902
0.00174,0.0003965,0.003725,0.00236,0.31717,0.31304,0.47634,0.47634
0.00257,0.0003965,0.003725,0.0008,0.26175,0.24606,0.37384,0.37384
0.00257,0.0003965,0.003725,0.00236,0.38662,0.38699,0.58408,0.58408
0.0034,0.0003965,0.003725,0.0008,0.22037,0.22243,0.3337,0.3337
0.0034,0.0003965,0.003725,0.00236,0.38281,0.3949,0.58712,0.58712
0.00257,0.0002526,0.003725,0.00158,0.36744,0.36363,0.54606,0.54606
0.00257,0.0005404,0.003725,0.00158,0.42179,0.42822,0.63539,0.63539
0.00257,0.000193,0.0012,0.00158,0.23548,0.23097,0.35537,0.35537
0.00257,0.000193,0.00625,0.00158,0.2207,0.2069,0.32222,0.32222
0.00257,0.0006,0.0012,0.00158,0.26278,0.23623,0.36014,0.36014
0.00257,0.0006,0.00625,0.00158,0.34153,0.33929,0.49658,0.49658
0.00257,0.000193,0.003725,0.0008,0.50088,0.50418,0.75073,0.75073
0.00257,0.000193,0.003725,0.00236,0.17433,0.17071,0.26099,0.26099
0.00257,0.0006,0.003725,0.0008,0.080426,0.078267,0.12214,0.12214
0.00257,0.0006,0.003725,0.00236,0.48442,0.48786,0.73773,0.73773
0.00257,0.0003965,0.0019396,0.00158,0.41536,0.39734,0.61099,0.61099
0.00257,0.0003965,0.0055104,0.00158,0.4565,0.44863,0.67331,0.67331
0.00257,0.0003965,0.0012,0.0008,0.13339,0.1323,0.20411,0.20411
0.00257,0.0003965,0.0012,0.00236,0.28412,0.2911,0.42496,0.42496
0.00257,0.0003965,0.00625,0.0008,0.18876,0.17469,0.26712,0.26712
0.00257,0.0003965,0.00625,0.00236,0.37386,0.37621,0.56993,0.56993
0.00257,0.0003965,0.003725,0.0010285,0.35122,0.34122,0.50552,0.50552
0.00257,0.0003965,0.003725,0.0021315,0.50468,0.49123,0.73601,0.73601
