_il,_it,_el,_et,cl_10,cl_15,cl_20,cl_25,cl_30
0.00174,0.0003965,0.003725,0.00158,2,4,7,6,2
0.0018032,0.0003965,0.003725,0.00158,2,4,7,6,2
0.0019831,0.0003965,0.003725,0.00158,2,4,7,6,2
0.0022524,0.0003965,0.003725,0.00158,2,4,7,6,2
0.00257,0.0003965,0.003725,0.00158,2,4,7,6,2
0.0028876,0.0003965,0.003725,0.00158,2,4,7,6,2
0.0031569,0.0003965,0.003725,0.00158,2,4,7,6,2
0.0033368,0.0003965,0.003725,0.00158,2,4,7,6,2
0.0034,0.0003965,0.003725,0.00158,2,4,7,6,2
0.00174,0.000193,0.003725,0.00158,2,4,7,6,2
0.00174,0.0006,0.003725,0.00158,2,4,7,6,1
0.0019831,0.000193,0.003725,0.00158,2,4,7,6,2
0.0019831,0.0006,0.003725,0.00158,2,4,7,6,1
0.00257,0.000193,0.003725,0.00158,2,4,7,6,2
0.00257,0.0006,0.003725,0.00158,2,4,7,6,2
0.0031569,0.000193,0.003725,0.00158,2,4,7,6,2
0.0031569,0.0006,0.003725,0.00158,2,4,7,6,3
0.0034,0.000193,0.003725,0.00158,2,4,7,6,2
0.0034,0.0006,0.003725,0.00158,2,4,7,6,3
0.00174,0.0003965,0.0012,0.00158,3,1,9,14,4
0.00174,0.0003965,0.00625,0.00158,2,4,7,6,6
0.0019831,0.0003965,0.0012,0.00158,3,1,9,14,4
0.0019831,0.0003965,0.00625,0.00158,2,4,7,6,6
0.00257,0.0003965,0.0012,0.00158,3,1,9,14,4
0.00257,0.0003965,0.00625,0.00158,2,4,7,6,2
0.0031569,0.0003965,0.0012,0.00158,3,1,9,14,5
0.0031569,0.0003965,0.00625,0.00158,2,4,7,6,2
0.0034,0.0003965,0.0012,0.00158,3,1,9,14,5
0.0034,0.0003965,0.00625,0.00158,2,4,7,6,2
0.00174,0.0003965,0.003725,0.0008,2,4,1,3,11
0.00174,0.0003965,0.003725,0.00236,2,4,7,6,2
0.0019831,0.0003965,0.003725,0.0008,2,4,1,3,11
0.0019831,0.0003965,0.003725,0.00236,2,4,7,6,2
0.00257,0.0003965,0.003725,0.0008,2,4,1,4,8
0.00257,0.0003965,0.003725,0.00236,2,4,7,6,2
0.0031569,0.0003965,0.003725,0.0008,2,4,1,4,7
0.0031569,0.0003965,0.003725,0.00236,2,4,7,6,2
0.0034,0.0003965,0.003725,0.0008,2,4,1,4,7
0.0034,0.0003965,0.003725,0.00236,2,4,7,6,2
0.00174,0.0002526,0.003725,0.00158,2,4,7,6,2
0.00174,0.0005404,0.003725,0.00158,2,4,7,6,1
0.00257,0.0002526,0.003725,0.00158,2,4,7,6,2
0.00257,0.0005404,0.003725,0.00158,2,4,7,6,2
0.0034,0.0002526,0.003725,0.00158,2,4,7,6,2
0.0034,0.0005404,0.003725,0.00158,2,4,7,6,3
0.00174,0.000193,0.0012,0.00158,2,4,8,1,9
0.00174,0.000193,0.00625,0.00158,2,8,3,10,16
0.00174,0.0006,0.0012,0.00158,1,9,14,19,24
