_il,_it,_el,_et,il:it,el:et,il:el,it:et,il:et,it:el,std
0.00174,0.0003965,0.003725,0.00158,4.3884,2.3576,0.46711,0.25095,1.1013,0.10644,2.0298
0.0018032,0.0003965,0.003725,0.00158,4.5477,2.3576,0.48408,0.25095,1.1413,0.10644,2.0547
0.0019831,0.0003965,0.003725,0.00158,5.0015,2.3576,0.53238,0.25095,1.2551,0.10644,2.1236
0.0022524,0.0003965,0.003725,0.00158,5.6806,2.3576,0.60466,0.25095,1.4256,0.10644,2.2217
0.00257,0.0003965,0.003725,0.00158,6.4817,2.3576,0.68993,0.25095,1.6266,0.10644,2.3298
0.0028876,0.0003965,0.003725,0.00158,7.2828,2.3576,0.7752,0.25095,1.8276,0.10644,2.4303
0.0031569,0.0003965,0.003725,0.00158,7.9619,2.3576,0.84749,0.25095,1.998,0.10644,2.51
0.0033368,0.0003965,0.003725,0.00158,8.4157,2.3576,0.89579,0.25095,2.1119,0.10644,2.5607
0.0034,0.0003965,0.003725,0.00158,8.575,2.3576,0.91275,0.25095,2.1519,0.10644,2.5781
0.00174,0.000193,0.003725,0.00158,9.0155,2.3576,0.46711,0.12215,1.1013,0.051812,1.5962
0.00174,0.0006,0.003725,0.00158,2.9,2.3576,0.46711,0.37975,1.1013,0.16107,2.4291
0.0019831,0.000193,0.003725,0.00158,10.275,2.3576,0.53238,0.12215,1.2551,0.051812,1.7038
0.0019831,0.0006,0.003725,0.00158,3.3052,2.3576,0.53238,0.37975,1.2551,0.16107,2.5132
0.00257,0.000193,0.003725,0.00158,13.316,2.3576,0.68993,0.12215,1.6266,0.051812,1.9367
0.00257,0.0006,0.003725,0.00158,4.2833,2.3576,0.68993,0.37975,1.6266,0.16107,2.6992
0.0031569,0.000193,0.003725,0.00158,16.357,2.3576,0.84749,0.12215,1.998,0.051812,2.1372
0.0031569,0.0006,0.003725,0.00158,5.2615,2.3576,0.84749,0.37975,1.998,0.16107,2.8634
0.0034,0.000193,0.003725,0.00158,17.617,2.3576,0.91275,0.12215,2.1519,0.051812,2.2122
0.0034,0.0006,0.003725,0.00158,5.6667,2.3576,0.91275,0.37975,2.1519,0.16107,2.9256
0.00174,0.0003965,0.0012,0.00158,4.3884,0.75949,1.45,0.25095,1.1013,0.33042,2.8246
0.00174,0.0003965,0.00625,0.00158,4.3884,3.9557,0.2784,0.25095,1.1013,0.06344,1.7337
0.0019831,0.0003965,0.0012,0.00158,5.0015,0.75949,1.6526,0.25095,1.2551,0.33042,2.9412
0.0019831,0.0003965,0.00625,0.00158,5.0015,3.9557,0.3173,0.25095,1.2551,0.06344,1.8032
0.00257,0.0003965,0.0012,0.00158,6.4817,0.75949,2.1417,0.25095,1.6266,0.33042,3.1734
