-il,_it,_el,_et,pca_3,pca_2,pca_1
0.00174,0.0003965,0.003725,0.00158,0.00035281,0.034923,0.068266
0.0018032,0.0003965,0.003725,0.00158,-0.0022009,0.031835,0.069149
0.0019831,0.0003965,0.003725,0.00158,-0.010034,0.023388,0.071571
0.0022524,0.0003965,0.003725,0.00158,-0.022918,0.011648,0.074958
0.00257,0.0003965,0.003725,0.00158,-0.039508,-0.00097594,0.078628
0.0028876,0.0003965,0.003725,0.00158,-0.057168,-0.012448,0.08199
0.0031569,0.0003965,0.003725,0.00158,-0.072711,-0.021385,0.084628
0.0033368,0.0003965,0.003725,0.00158,-0.083291,-0.026991,0.086293
0.0034,0.0003965,0.003725,0.00158,-0.086967,-0.02888,0.086862
0.00174,0.000193,0.003725,0.00158,-0.044143,-0.038678,0.053485
0.00174,0.0006,0.003725,0.00158,0.024892,0.094471,0.080488
0.0019831,0.000193,0.003725,0.00158,-0.060274,-0.050347,0.056887
0.0019831,0.0006,0.003725,0.00158,0.019518,0.083075,0.083706
0.00257,0.000193,0.003725,0.00158,-0.10203,-0.074991,0.064149
0.00257,0.0006,0.003725,0.00158,0.00078131,0.058985,0.090581
0.0031569,0.000193,0.003725,0.00158,-0.14569,-0.095616,0.07032
0.0031569,0.0006,0.003725,0.00158,-0.023258,0.038787,0.096428
0.0034,0.000193,0.003725,0.00158,-0.16392,-0.10321,0.072615
0.0034,0.0006,0.003725,0.00158,-0.034179,0.031345,0.098604
0.00174,0.0003965,0.0012,0.00158,0.15556,-0.065432,0.094663
0.00174,0.0003965,0.00625,0.00158,0.012876,0.074259,0.057218
0.0019831,0.0003965,0.0012,0.00158,0.13815,-0.078229,0.098384
0.0019831,0.0003965,0.00625,0.00158,0.00083523,0.065004,0.059908
0.00257,0.0003965,0.0012,0.00158,0.085838,-0.1029,0.10574
0.00257,0.0003965,0.00625,0.00158,-0.029369,0.044684,0.065858
0.0031569,0.0003965,0.0012,0.00158,0.027713,-0.12144,0.11144
0.0031569,0.0003965,0.00625,0.00158,-0.060466,0.026809,0.071142
0.0034,0.0003965,0.0012,0.00158,0.0033483,-0.12784,0.11346
0.0034,0.0003965,0.00625,0.00158,-0.073445,0.02002,0.073161
0.00174,0.0003965,0.003725,0.0008,0.042365,0.13923,0.089707
0.00174,0.0003965,0.003725,0.00236,0.032925,-0.0087925,0.058035
0.0019831,0.0003965,0.003725,0.0008,0.025172,0.12756,0.093123
0.0019831,0.0003965,0.003725,0.00236,0.028412,-0.020181,0.061243
0.00257,0.0003965,0.003725,0.0008,-0.017186,0.10297,0.10039
0.00257,0.0003965,0.003725,0.00236,0.010613,-0.044302,0.068115
0.0031569,0.0003965,0.003725,0.0008,-0.05947,0.082457,0.10653
