_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2
0.00174,0.0003965,0.003725,0.00158,0.041395,2.0298,0.087533,0.079356
0.0018032,0.0003965,0.003725,0.00158,0.044257,2.0547,0.087429,0.079698
0.0019831,0.0003965,0.003725,0.00158,0.052147,2.1236,0.087145,0.080635
0.0022524,0.0003965,0.003725,0.00158,0.063417,2.2217,0.086748,0.081947
0.00257,0.0003965,0.003725,0.00158,0.075925,2.3298,0.08632,0.08337
0.0028876,0.0003965,0.003725,0.00158,0.087652,2.4303,0.085929,0.084675
0.0031569,0.0003965,0.003725,0.00158,0.097034,2.51,0.085624,0.0857
0.0033368,0.0003965,0.003725,0.00158,0.10304,2.5607,0.085432,0.086348
0.0034,0.0003965,0.003725,0.00158,0.10505,2.5781,0.085366,0.086569
0.00174,0.000193,0.003725,0.00158,0.076566,1.5962,0.090472,0.072726
0.00174,0.0006,0.003725,0.00158,0.018792,2.4291,0.085157,0.084847
0.0019831,0.000193,0.003725,0.00158,0.092822,1.7038,0.090108,0.074062
0.0019831,0.0006,0.003725,0.00158,0.032905,2.5132,0.084804,0.086106
0.00257,0.000193,0.003725,0.00158,0.12418,1.9367,0.089308,0.076905
0.00257,0.0006,0.003725,0.00158,0.059637,2.6992,0.084027,0.088782
0.0031569,0.000193,0.003725,0.00158,0.1524,2.1372,0.088638,0.079327
0.0031569,0.0006,0.003725,0.00158,0.083822,2.8634,0.083376,0.091065
0.0034,0.000193,0.003725,0.00158,0.16551,2.2122,0.088407,0.080238
0.0034,0.0006,0.003725,0.00158,0.09541,2.9256,0.083152,0.091924
0.00174,0.0003965,0.0012,0.00158,0.12368,2.8246,0.084421,0.089523
0.00174,0.0003965,0.00625,0.00158,0.0040206,1.7337,0.088821,0.075078
0.0019831,0.0003965,0.0012,0.00158,0.10724,2.9412,0.083779,0.090859
0.0019831,0.0003965,0.00625,0.00158,-0.003283,1.8032,0.08839,0.076061
0.00257,0.0003965,0.0012,0.00158,0.11936,3.1734,0.082828,0.093665
0.00257,0.0003965,0.00625,0.00158,0.00094967,1.9636,0.087581,0.07831
0.0031569,0.0003965,0.0012,0.00158,0.1284,3.355,0.082086,0.095844
0.0031569,0.0003965,0.00625,0.00158,0.0048893,2.1122,0.086864,0.080308
0.0034,0.0003965,0.0012,0.00158,0.12375,3.4192,0.081768,0.096584
0.0034,0.0003965,0.00625,0.00158,-0.0012575,2.1704,0.086535,0.081044
0.00174,0.0003965,0.003725,0.0008,-0.074603,2.7438,0.082821,0.088706
0.00174,0.0003965,0.003725,0.00236,-0.022866,1.7202,0.088896,0.07452
0.0019831,0.0003965,0.003725,0.0008,-0.078253,2.8287,0.082313,0.089974
0.0019831,0.0003965,0.003725,0.00236,-0.027087,1.8173,0.088415,0.075707
0.00257,0.0003965,0.003725,0.0008,-0.067555,3.0167,0.081365,0.092742
0.00257,0.0003965,0.003725,0.00236,-0.017178,2.0298,0.087518,0.078319
0.0031569,0.0003965,0.003725,0.0008,-0.059413,3.1822,0.080556,0.095079
0.0031569,0.0003965,0.003725,0.00236,-0.0091444,2.2146,0.086749,0.08055
0.0034,0.0003965,0.003725,0.0008,-0.064587,3.2448,0.080198,0.095915
0.0034,0.0003965,0.003725,0.00236,-0.014212,2.2842,0.086404,0.081352
0.00174,0.0002526,0.003725,0.00158,-0.063746,1.724,0.088627,0.074333
0.00174,0.0005404,0.003725,0.00158,0.023074,2.3171,0.085795,0.083334
0.00257,0.0002526,0.003725,0.00158,0.10441,2.0517,0.088335,0.078921
0.00257,0.0005404,0.003725,0.00158,0.05869,2.595,0.084617,0.087278
0.0034,0.0002526,0.003725,0.00158,0.13875,2.3188,0.087395,0.082201
0.0034,0.0005404,0.003725,0.00158,0.089109,2.8271,0.083695,0.090423
0.00174,0.000193,0.0012,0.00158,0.1377,2.454,0.087257,0.082689
0.00174,0.000193,0.00625,0.00158,0.03503,1.2666,0.091686,0.068548
0.00174,0.0006,0.0012,0.00158,0.077788,3.1761,0.081842,0.095025
0.00174,0.0006,0.00625,0.00158,-0.030879,2.1526,0.086393,0.080428
0.00257,0.000193,0.0012,0.00158,0.16001,2.8345,0.085785,0.087112
0.00257,0.000193,0.00625,0.00158,0.042667,1.5366,0.090493,0.071899
0.00257,0.0006,0.0012,0.00158,0.089897,3.4971,0.080427,0.099067
0.00257,0.0006,0.00625,0.00158,-0.029072,2.3569,0.085215,0.083606
0.0034,0.000193,0.0012,0.00158,0.17461,3.0998,0.08475,0.090192
0.0034,0.000193,0.00625,0.00158,0.049306,1.7727,0.089484,0.074733
0.0034,0.0006,0.0012,0.00158,0.097607,3.7251,0.079432,0.10189
0.0034,0.0006,0.00625,0.00158,-0.026837,2.5429,0.084223,0.086297
0.00174,0.000193,0.003725,0.0008,-0.0019248,2.0302,0.087249,0.079153
0.00174,0.000193,0.003725,0.00236,0.021469,1.4191,0.091254,0.069544
0.00174,0.0006,0.003725,0.0008,-0.1083,3.2956,0.079747,0.095707
0.00174,0.0006,0.003725,0.00236,-0.042612,2.0201,0.086977,0.078927
0.00257,0.000193,0.003725,0.0008,0.093998,2.3559,0.086366,0.083677
0.00257,0.000193,0.003725,0.00236,0.11383,1.7589,0.090458,0.073757
0.00257,0.0006,0.003725,0.0008,-0.020616,3.5385,0.078915,0.099908
0.00257,0.0006,0.003725,0.00236,0.045302,2.3036,0.086217,0.082944
0.0034,0.000193,0.003725,0.0008,0.10942,2.6226,0.08524,0.08702
0.0034,0.000193,0.003725,0.00236,0.12736,2.0329,0.089392,0.076902
0.0034,0.0006,0.003725,0.0008,-0.011804,3.743,0.077829,0.103
0.0034,0.0006,0.003725,0.00236,0.055298,2.5399,0.085178,0.085936
0.00174,0.0003965,0.0019396,0.00158,0.047137,2.483,0.085408,0.085151
0.00174,0.0003965,0.0055104,0.00158,-0.022917,1.7987,0.088274,0.075925
0.00257,0.0003965,0.0019396,0.00158,0.078776,2.8324,0.084036,0.089521
0.00257,0.0003965,0.0055104,0.00158,-0.00036524,2.0469,0.08715,0.079427
