_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3
0.00174,0.0003965,0.003725,0.00158,0.041395,2.0298,0.091972,0.097119,0.030922
0.0018032,0.0003965,0.003725,0.00158,0.044257,2.0547,0.091558,0.096053,0.033686
0.0019831,0.0003965,0.003725,0.00158,0.052147,2.1236,0.090424,0.093135,0.041255
0.0022524,0.0003965,0.003725,0.00158,0.063417,2.2217,0.088842,0.089075,0.05181
0.00257,0.0003965,0.003725,0.00158,0.075925,2.3298,0.087133,0.084703,0.063205
0.0028876,0.0003965,0.003725,0.00158,0.087652,2.4303,0.085573,0.080724,0.073603
0.0031569,0.0003965,0.003725,0.00158,0.097034,2.51,0.084354,0.07762,0.081734
0.0033368,0.0003965,0.003725,0.00158,0.10304,2.5607,0.083585,0.07567,0.086851
0.0034,0.0003965,0.003725,0.00158,0.10505,2.5781,0.083323,0.075011,0.088589
0.00174,0.000193,0.003725,0.00158,0.076566,1.5962,0.09601,0.084014,0.033715
0.00174,0.0006,0.003725,0.00158,0.018792,2.4291,0.088653,0.10768,0.029085
0.0019831,0.000193,0.003725,0.00158,0.092822,1.7038,0.094468,0.080008,0.044238
0.0019831,0.0006,0.003725,0.00158,0.032905,2.5132,0.087171,0.10379,0.039196
0.00257,0.000193,0.003725,0.00158,0.12418,1.9367,0.091155,0.071497,0.066607
0.00257,0.0006,0.003725,0.00158,0.059637,2.6992,0.083983,0.09551,0.060708
0.0031569,0.000193,0.003725,0.00158,0.1524,2.1372,0.088364,0.064359,0.085476
0.0031569,0.0006,0.003725,0.00158,0.083822,2.8634,0.081295,0.088557,0.078875
0.0034,0.000193,0.003725,0.00158,0.16551,2.2122,0.087352,0.061747,0.092445
0.0034,0.0006,0.003725,0.00158,0.09541,2.9256,0.080319,0.08601,0.085589
0.00174,0.0003965,0.0012,0.00158,0.12368,2.8246,0.079284,0.063134,0.11696
0.00174,0.0003965,0.00625,0.00158,0.0040206,1.7337,0.097164,0.11063,0
0.0019831,0.0003965,0.0012,0.00158,0.10724,2.9412,0.077304,0.058466,0.12867
0.0019831,0.0003965,0.00625,0.00158,-0.003283,1.8032,0.095771,0.10729,0.0045013
0.00257,0.0003965,0.0012,0.00158,0.11936,3.1734,0.073792,0.049766,0.1513
0.00257,0.0003965,0.00625,0.00158,0.00094967,1.9636,0.092869,0.10011,0.023002
0.0031569,0.0003965,0.0012,0.00158,0.1284,3.355,0.071085,0.043166,0.16861
0.0031569,0.0003965,0.00625,0.00158,0.0048893,2.1122,0.0903,0.093776,0.039359
0.0034,0.0003965,0.0012,0.00158,0.12375,3.4192,0.070068,0.04081,0.1747
0.0034,0.0003965,0.00625,0.00158,-0.0012575,2.1704,0.089253,0.091304,0.045635
0.00174,0.0003965,0.003725,0.0008,-0.074603,2.7438,0.085494,0.11498,0.028181
0.00174,0.0003965,0.003725,0.00236,-0.022866,1.7202,0.094206,0.08914,0.030539
0.0019831,0.0003965,0.003725,0.0008,-0.078253,2.8287,0.083776,0.11081,0.038836
0.0019831,0.0003965,0.003725,0.00236,-0.027087,1.8173,0.092572,0.085104,0.040729
0.00257,0.0003965,0.003725,0.0008,-0.067555,3.0167,0.080287,0.10215,0.061302
0.00257,0.0003965,0.003725,0.00236,-0.017178,2.0298,0.089241,0.076684,0.062342
0.0031569,0.0003965,0.003725,0.0008,-0.059413,3.1822,0.07734,0.094883,0.080186
0.0031569,0.0003965,0.003725,0.00236,-0.0091444,2.2146,0.086404,0.069573,0.080662
0.0034,0.0003965,0.003725,0.0008,-0.064587,3.2448,0.076181,0.092144,0.087197
0.0034,0.0003965,0.003725,0.00236,-0.014212,2.2842,0.08528,0.066877,0.087506
0.00174,0.0002526,0.003725,0.00158,-0.063746,1.724,0.093643,0.087124,0.03348
0.00174,0.0005404,0.003725,0.00158,0.023074,2.3171,0.089552,0.1048,0.02955
0.00257,0.0002526,0.003725,0.00158,0.10441,2.0517,0.089855,0.075648,0.065506
0.00257,0.0005404,0.003725,0.00158,0.05869,2.595,0.084805,0.092528,0.061379
0.0034,0.0002526,0.003725,0.00158,0.13875,2.3188,0.086022,0.065886,0.091225
0.0034,0.0005404,0.003725,0.00158,0.089109,2.8271,0.08107,0.082944,0.086423
0.00174,0.000193,0.0012,0.00158,0.1377,2.454,0.083278,0.050068,0.11915
0.00174,0.000193,0.00625,0.00158,0.03503,1.2666,0.10104,0.097292,0
0.00174,0.0006,0.0012,0.00158,0.077788,3.1761,0.075661,0.073335,0.11581
0.00174,0.0006,0.00625,0.00158,-0.030879,2.1526,0.093847,0.12126,0
0.00257,0.000193,0.0012,0.00158,0.16001,2.8345,0.077808,0.036561,0.15447
0.00257,0.000193,0.00625,0.00158,0.042667,1.5366,0.096751,0.086727,0.026872
0.00257,0.0006,0.0012,0.00158,0.089897,3.4971,0.070492,0.060425,0.14906
0.00257,0.0006,0.00625,0.00158,-0.029072,2.3569,0.089672,0.11091,0.020217
0.0034,0.000193,0.0012,0.00158,0.17461,3.0998,0.074035,0.027467,0.17854
0.0034,0.000193,0.00625,0.00158,0.049306,1.7727,0.093139,0.077891,0.049825
0.0034,0.0006,0.0012,0.00158,0.097607,3.7251,0.066917,0.051699,0.17179
0.0034,0.0006,0.00625,0.00158,-0.026837,2.5429,0.086159,0.10224,0.04249
0.00174,0.000193,0.003725,0.0008,-0.0019248,2.0302,0.091398,0.095118,0.033801
0.00174,0.000193,0.003725,0.00236,0.021469,1.4191,0.097489,0.07975,0.031843
0.00174,0.0006,0.003725,0.0008,-0.1083,3.2956,0.081284,0.12895,0.025006
0.00174,0.0006,0.003725,0.00236,-0.042612,2.0201,0.09148,0.097295,0.029603
0.00257,0.000193,0.003725,0.0008,0.093998,2.3559,0.08678,0.082755,0.067309
0.00257,0.000193,0.003725,0.00236,0.11383,1.7589,0.093158,0.067815,0.063746
0.00257,0.0006,0.003725,0.0008,-0.020616,3.5385,0.076911,0.11699,0.056925
0.00257,0.0006,0.003725,0.00236,0.045302,2.3036,0.087313,0.085679,0.060419
0.0034,0.000193,0.003725,0.0008,0.10942,2.6226,0.08265,0.072673,0.093794
0.0034,0.000193,0.003725,0.00236,0.12736,2.0329,0.089207,0.057958,0.089289
0.0034,0.0006,0.003725,0.0008,-0.011804,3.743,0.072964,0.1072,0.082224
0.0034,0.0006,0.003725,0.00236,0.055298,2.5399,0.083488,0.076057,0.085137
0.00174,0.0003965,0.0019396,0.00158,0.047137,2.483,0.084222,0.077144,0.081075
0.00174,0.0003965,0.0055104,0.00158,-0.022917,1.7987,0.095682,0.1073,0.0041426
0.00257,0.0003965,0.0019396,0.00158,0.078776,2.8324,0.078879,0.06354,0.11638
0.00257,0.0003965,0.0055104,0.00158,-0.00036524,2.0469,0.091369,0.096385,0.032461
0.0034,0.0003965,0.0019396,0.00158,0.10365,3.0938,0.07501,0.053831,0.14185
0.0034,0.0003965,0.0055104,0.00158,0.019329,2.2658,0.087797,0.0874,0.055887
0.00174,0.0003965,0.0012,0.0008,0.03608,3.5474,0.071517,0.078456,0.12256
0.00174,0.0003965,0.0012,0.00236,0.041799,2.4902,0.082438,0.05708,0.11057
0.00174,0.0003965,0.00625,0.0008,-0.13476,2.4579,0.091023,0.12915,0
0.00174,0.0003965,0.00625,0.00236,-0.060662,1.4244,0.099027,0.10199,0
0.00257,0.0003965,0.0012,0.0008,0.040615,3.8715,0.066127,0.065288,0.15662
0.00257,0.0003965,0.0012,0.00236,0.048105,2.8456,0.077068,0.043802,0.14475
0.00257,0.0003965,0.00625,0.0008,-0.032416,2.6613,0.08751,0.11931,0.017608
0.00257,0.0003965,0.00625,0.00236,0.040155,1.6663,0.095719,0.092474,0.023548
0.0034,0.0003965,0.0012,0.0008,0.144,4.0984,0.063333,0.057367,0.17892
0.0034,0.0003965,0.0012,0.00236,0.15493,3.0973,0.074188,0.035564,0.16783
0.0034,0.0003965,0.00625,0.0008,-0.038048,2.8468,0.083782,0.11036,0.040676
0.0034,0.0003965,0.00625,0.00236,0.033846,1.8816,0.092142,0.083746,0.045826
0.00174,0.0003965,0.003725,0.0010285,-0.032797,2.4525,0.087981,0.10752,0.029856
0.00174,0.0003965,0.003725,0.0021315,2.4029e-05,1.7915,0.093727,0.090964,0.03079
0.00257,0.0003965,0.003725,0.0010285,-0.0028176,2.7364,0.083011,0.094925,0.062646
0.00257,0.0003965,0.003725,0.0021315,0.028749,2.0992,0.088924,0.07864,0.062648
0.0034,0.0003965,0.003725,0.0010285,0.0214,2.973,0.079106,0.08512,0.088325
0.0034,0.0003965,0.003725,0.0021315,0.0527,2.3526,0.085122,0.068973,0.087803
0.00257,0.00020849,0.003725,0.00158,0.049381,1.9664,0.090216,0.072039,0.066692
0.00257,0.00031862,0.003725,0.00158,0.028183,2.1801,0.088026,0.079473,0.064722
0.00257,0.00047438,0.003725,0.00158,0.003362,2.4755,0.0853,0.088571,0.062505
0.00257,0.00058451,0.003725,0.00158,-0.011379,2.6725,0.083589,0.094177,0.061264
0.00257,0.0002526,0.0012,0.00158,0.10178,2.9335,0.076161,0.040378,0.15367
0.00257,0.0002526,0.00625,0.00158,-0.015952,1.6623,0.095146,0.090599,0.025849
0.00257,0.0005404,0.0012,0.00158,0.047782,3.4051,0.070971,0.057119,0.14991
0.00257,0.0005404,0.00625,0.00158,0.010901,2.2466,0.090823,0.10823,0.020766
0.00257,0.0002526,0.003725,0.0008,0.07345,2.5633,0.084925,0.089511,0.065012
0.00257,0.0002526,0.003725,0.00236,0.10445,1.8361,0.092219,0.070818,0.063111
0.00257,0.0005404,0.003725,0.0008,-0.011146,3.3988,0.077994,0.11331,0.057874
0.00257,0.0005404,0.003725,0.00236,0.051334,2.2244,0.088054,0.083373,0.0608
0.00257,0.000193,0.0019396,0.00158,0.13381,2.4743,0.08301,0.050456,0.11949
0.00257,0.000193,0.0055104,0.00158,0.055558,1.6285,0.095396,0.083154,0.036132
0.00257,0.0006,0.0019396,0.00158,0.068519,3.1732,0.075742,0.074345,0.11404
0.00257,0.0006,0.0055104,0.00158,-0.011184,2.4346,0.088315,0.10731,0.029676
0.00257,0.000193,0.0012,0.0008,0.16567,3.2977,0.072355,0.045619,0.16265
0.00257,0.000193,0.0012,0.00236,0.14616,2.6111,0.080764,0.034746,0.14603
0.00257,0.000193,0.00625,0.0008,0.00040735,1.954,0.092806,0.098747,0.024804
0.00257,0.000193,0.00625,0.00236,0.039291,1.3716,0.098439,0.082421,0.026057
0.00257,0.0006,0.0012,0.0008,0.048398,4.3383,0.062407,0.079829,0.15248
