_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00174,0.0003965,0.003725,0.00158,0.041395,2.0298,0.086818,0.061044,0.09938,0,0
0.0018032,0.0003965,0.003725,0.00158,0.044257,2.0547,0.086785,0.062439,0.098086,0,0
0.0019831,0.0003965,0.003725,0.00158,0.052147,2.1236,0.086693,0.066262,0.094545,0,0
0.0022524,0.0003965,0.003725,0.00158,0.063417,2.2217,0.086564,0.071596,0.089617,0,0
0.00257,0.0003965,0.003725,0.00158,0.075925,2.3298,0.086422,0.077359,0.084308,0,0
0.0028876,0.0003965,0.003725,0.00158,0.087652,2.4303,0.086289,0.082623,0.079475,0,0
0.0031569,0.0003965,0.003725,0.00158,0.097034,2.51,0.086183,0.086741,0.075704,0,0
0.0033368,0.0003965,0.003725,0.00158,0.10304,2.5607,0.086116,0.089335,0.073335,0,0
0.0034,0.0003965,0.003725,0.00158,0.10505,2.5781,0.086091,0.090218,0.072532,0,0
0.00174,0.000193,0.003725,0.00158,0.076566,1.5962,0.094225,0.057297,0.085554,0,0
0.00174,0.0006,0.003725,0.00158,0.018792,2.4291,0.080808,0.06434,0.11049,0,0
0.0019831,0.000193,0.003725,0.00158,0.092822,1.7038,0.094127,0.062632,0.080684,0,0
0.0019831,0.0006,0.003725,0.00158,0.032905,2.5132,0.080722,0.069449,0.10577,0,0
0.00257,0.000193,0.003725,0.00158,0.12418,1.9367,0.09388,0.073976,0.070339,0,0
0.00257,0.0006,0.003725,0.00158,0.059637,2.6992,0.080501,0.080319,0.095723,0,0
0.0031569,0.000193,0.003725,0.00158,0.1524,2.1372,0.093667,0.083561,0.061656,0,0
0.0031569,0.0006,0.003725,0.00158,0.083822,2.8634,0.08031,0.089514,0.087277,0,0
0.0034,0.000193,0.003725,0.00158,0.16551,2.2122,0.093604,0.087111,0.058473,0,0
0.0034,0.0006,0.003725,0.00158,0.09541,2.9256,0.080256,0.092922,0.08418,0,0
0.00174,0.0003965,0.0012,0.00158,0.12368,2.8246,0.086181,0.10414,0.058269,0,0
0.00174,0.0003965,0.00625,0.00158,0.0040206,1.7337,0.087186,0.043466,0.11576,0,0
0.0019831,0.0003965,0.0012,0.00158,0.10724,2.9412,0.085816,0.10999,0.052631,0,0
0.0019831,0.0003965,0.00625,0.00158,-0.003283,1.8032,0.086957,0.047696,0.11172,0,0
0.00257,0.0003965,0.0012,0.00158,0.11936,3.1734,0.085404,0.12143,0.042068,0,0
0.00257,0.0003965,0.00625,0.00158,0.00094967,1.9636,0.086598,0.057019,0.10302,0,0
0.0031569,0.0003965,0.0012,0.00158,0.1284,3.355,0.085053,0.13021,0.034047,0,0
0.0031569,0.0003965,0.00625,0.00158,0.0048893,2.1122,0.086272,0.065269,0.095342,0,0
0.0034,0.0003965,0.0012,0.00158,0.12375,3.4192,0.084864,0.13329,0.03119,0,0
0.0034,0.0003965,0.00625,0.00158,-0.0012575,2.1704,0.086088,0.068417,0.092352,0,0
0.00174,0.0003965,0.003725,0.0008,-0.074603,2.7438,0.075704,0.066874,0.11816,0,0
0.00174,0.0003965,0.003725,0.00236,-0.022866,1.7202,0.090909,0.057374,0.091095,0,0
0.0019831,0.0003965,0.003725,0.0008,-0.078253,2.8287,0.075452,0.072228,0.1131,0,0
0.0019831,0.0003965,0.003725,0.00236,-0.027087,1.8173,0.090686,0.062476,0.086216,0,0
0.00257,0.0003965,0.003725,0.0008,-0.067555,3.0167,0.075045,0.083572,0.10259,0,0
0.00257,0.0003965,0.003725,0.00236,-0.017178,2.0298,0.09034,0.073354,0.076012,0,0
0.0031569,0.0003965,0.003725,0.0008,-0.059413,3.1822,0.074682,0.093115,0.093777,0,0
0.0031569,0.0003965,0.003725,0.00236,-0.0091444,2.2146,0.090026,0.082586,0.067392,0,0
0.0034,0.0003965,0.003725,0.0008,-0.064587,3.2448,0.074482,0.096641,0.09046,0,0
0.0034,0.0003965,0.003725,0.00236,-0.014212,2.2842,0.089845,0.086018,0.064129,0,0
0.00174,0.0002526,0.003725,0.00158,-0.063746,1.724,0.090911,0.058485,0.088803,0,0
0.00174,0.0005404,0.003725,0.00158,0.023074,2.3171,0.082437,0.063416,0.10746,0,0
0.00257,0.0002526,0.003725,0.00158,0.10441,2.0517,0.091493,0.075018,0.074731,0,0
