_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2
0.00174,0.0003965,0.003725,0.00158,0.041395,2.0298,6911.5,2338.8
0.0018032,0.0003965,0.003725,0.00158,0.044257,2.0547,6842.1,2413.5
0.0019831,0.0003965,0.003725,0.00158,0.052147,2.1236,6651.6,2618.4
0.0022524,0.0003965,0.003725,0.00158,0.063417,2.2217,6385.4,2905
0.00257,0.0003965,0.003725,0.00158,0.075925,2.3298,6097,3215.6
0.0028876,0.0003965,0.003725,0.00158,0.087652,2.4303,5833,3500.2
0.0031569,0.0003965,0.003725,0.00158,0.097034,2.51,5626,3723.4
0.0033368,0.0003965,0.003725,0.00158,0.10304,2.5607,5495.4,3864.4
0.0034,0.0003965,0.003725,0.00158,0.10505,2.5781,5450.6,3912.6
0.00174,0.000193,0.003725,0.00158,0.076566,1.5962,8438.1,777.23
0.00174,0.0006,0.003725,0.00158,0.018792,2.4291,5658.8,3624.7
0.0019831,0.000193,0.003725,0.00158,0.092822,1.7038,8175.2,1063.7
0.0019831,0.0006,0.003725,0.00158,0.032905,2.5132,5409.4,3895.7
0.00257,0.000193,0.003725,0.00158,0.12418,1.9367,7610.6,1676.7
0.00257,0.0006,0.003725,0.00158,0.059637,2.6992,4872.9,4476
0.0031569,0.000193,0.003725,0.00158,0.1524,2.1372,7132,2197.4
0.0031569,0.0006,0.003725,0.00158,0.083822,2.8634,4417.7,4969.4
0.0034,0.000193,0.003725,0.00158,0.16551,2.2122,6956.4,2390.4
0.0034,0.0006,0.003725,0.00158,0.09541,2.9256,4250.7,5152.3
0.00174,0.0003965,0.0012,0.00158,0.12368,2.8246,4840.5,4564.8
0.00174,0.0003965,0.00625,0.00158,0.0040206,1.7337,7778.3,1405.2
0.0019831,0.0003965,0.0012,0.00158,0.10724,2.9412,4520.5,4888.4
0.0019831,0.0003965,0.00625,0.00158,-0.003283,1.8032,7551.3,1637.8
0.00257,0.0003965,0.0012,0.00158,0.11936,3.1734,3929.9,5515.2
0.00257,0.0003965,0.00625,0.00158,0.00094967,1.9636,7068.5,2146.3
0.0031569,0.0003965,0.0012,0.00158,0.1284,3.355,3470.6,6002.4
0.0031569,0.0003965,0.00625,0.00158,0.0048893,2.1122,6639.7,2598
0.0034,0.0003965,0.0012,0.00158,0.12375,3.4192,3301.1,6176.6
0.0034,0.0003965,0.00625,0.00158,-0.0012575,2.1704,6468.5,2773
0.00174,0.0003965,0.003725,0.0008,-0.074603,2.7438,4641.9,4617
0.00174,0.0003965,0.003725,0.00236,-0.022866,1.7202,7865.2,1303.4
0.0019831,0.0003965,0.003725,0.0008,-0.078253,2.8287,4359,4910.7
0.0019831,0.0003965,0.003725,0.00236,-0.027087,1.8173,7599.2,1578.9
0.00257,0.0003965,0.003725,0.0008,-0.067555,3.0167,3774.4,5530.2
0.00257,0.0003965,0.003725,0.00236,-0.017178,2.0298,7047.1,2163.9
0.0031569,0.0003965,0.003725,0.0008,-0.059413,3.1822,3279.1,6054.4
0.0031569,0.0003965,0.003725,0.00236,-0.0091444,2.2146,6574.9,2663.9
0.0034,0.0003965,0.003725,0.0008,-0.064587,3.2448,3087.7,6251.1
0.0034,0.0003965,0.003725,0.00236,-0.014212,2.2842,6391.1,2852.9
0.00174,0.0002526,0.003725,0.00158,-0.063746,1.724,7835.5,1306.8
0.00174,0.0005404,0.003725,0.00158,0.023074,2.3171,6000.7,3272.4
0.00257,0.0002526,0.003725,0.00158,0.10441,2.0517,7130.1,2162.2
0.00257,0.0005404,0.003725,0.00158,0.05869,2.595,5203.4,4132
0.0034,0.0002526,0.003725,0.00158,0.13875,2.3188,6475.3,2871.6
0.0034,0.0005404,0.003725,0.00158,0.089109,2.8271,4571.2,4815.1
0.00174,0.000193,0.0012,0.00158,0.1377,2.454,6374.6,2980.7
0.00174,0.000193,0.00625,0.00158,0.03503,1.2666,9275.8,0
0.00174,0.0006,0.0012,0.00158,0.077788,3.1761,3544.7,5879.6
0.00174,0.0006,0.00625,0.00158,-0.030879,2.1526,6535,2672.7
0.00257,0.000193,0.0012,0.00158,0.16001,2.8345,5449.3,3964.9
0.00257,0.000193,0.00625,0.00158,0.042667,1.5366,8558.6,627.4
0.00257,0.0006,0.0012,0.00158,0.089897,3.4971,2684.8,6788.4
0.00257,0.0006,0.00625,0.00158,-0.029072,2.3569,5845.4,3396
0.0034,0.000193,0.0012,0.00158,0.17461,3.0998,4803.1,4651.6
0.0034,0.000193,0.00625,0.00158,0.049306,1.7727,7952.3,1266.7
0.0034,0.0006,0.0012,0.00158,0.097607,3.7251,2082.8,7424
0.0034,0.0006,0.00625,0.00158,-0.026837,2.5429,5262.7,4007.7
0.00174,0.000193,0.003725,0.0008,-0.0019248,2.0302,6880.8,2341.6
0.00174,0.000193,0.003725,0.00236,0.021469,1.4191,9042.3,110.91
0.00174,0.0006,0.003725,0.0008,-0.1083,3.2956,3035.9,6262.1
0.00174,0.0006,0.003725,0.00236,-0.042612,2.0201,6857.4,2336.9
0.00257,0.000193,0.003725,0.0008,0.093998,2.3559,6062.6,3264.8
0.00257,0.000193,0.003725,0.00236,0.11383,1.7589,8286,966.94
0.00257,0.0006,0.003725,0.0008,-0.020616,3.5385,2274,7120.7
0.00257,0.0006,0.003725,0.00236,0.045302,2.3036,6136,3153.3
0.0034,0.000193,0.003725,0.0008,0.10942,2.6226,5360.8,4010.3
0.0034,0.000193,0.003725,0.00236,0.12736,2.0329,7624.1,1669.4
0.0034,0.0006,0.003725,0.0008,-0.011804,3.743,1615.3,7816.5
0.0034,0.0006,0.003725,0.00236,0.055298,2.5399,5501.3,3824.9
0.00174,0.0003965,0.0019396,0.00158,0.047137,2.483,5658.9,3654.6
0.00174,0.0003965,0.0055104,0.00158,-0.022917,1.7987,7546.5,1629.2
0.00257,0.0003965,0.0019396,0.00158,0.078776,2.8324,4761.6,4616.1
0.00257,0.0003965,0.0055104,0.00158,-0.00036524,2.0469,6822.6,2402.8
0.0034,0.0003965,0.0019396,0.00158,0.10365,3.0938,4104.5,5321.3
0.0034,0.0003965,0.0055104,0.00158,0.019329,2.2658,6220,3047.5
0.00174,0.0003965,0.0012,0.0008,0.03608,3.5474,2305.2,7140.6
0.00174,0.0003965,0.0012,0.00236,0.041799,2.4902,5977,3325.8
0.00174,0.0003965,0.00625,0.0008,-0.13476,2.4579,5593.5,3578.9
0.00174,0.0003965,0.00625,0.00236,-0.060662,1.4244,8660.8,443.95
0.00257,0.0003965,0.0012,0.0008,0.040615,3.8715,1404.8,8086.5
0.00257,0.0003965,0.0012,0.00236,0.048105,2.8456,5084.6,4264.6
0.00257,0.0003965,0.00625,0.0008,-0.032416,2.6613,4959.8,4313.5
0.00257,0.0003965,0.00625,0.00236,0.040155,1.6663,8069.6,1133
0.0034,0.0003965,0.0012,0.0008,0.144,4.0984,883.19,8704.4
0.0034,0.0003965,0.0012,0.00236,0.15493,3.0973,4549.4,4899.1
0.0034,0.0003965,0.00625,0.0008,-0.038048,2.8468,4339.3,4959.2
0.0034,0.0003965,0.00625,0.00236,0.033846,1.8816,7480.6,1745.3
0.00174,0.0003965,0.003725,0.0010285,-0.032797,2.4525,5539.5,3713.4
0.00174,0.0003965,0.003725,0.0021315,2.4029e-05,1.7915,7647.5,1545.4
0.00257,0.0003965,0.003725,0.0010285,-0.0028176,2.7364,4701.8,4611.2
0.00257,0.0003965,0.003725,0.0021315,0.028749,2.0992,6844.6,2406.1
0.0034,0.0003965,0.003725,0.0010285,0.0214,2.973,4039.8,5321.2
0.0034,0.0003965,0.003725,0.0021315,0.0527,2.3526,6204.3,3093.2
0.00257,0.00020849,0.003725,0.00158,0.049381,1.9664,7416.8,1826.6
0.00257,0.00031862,0.003725,0.00158,0.028183,2.1801,6578.4,2682.9
0.00257,0.00047438,0.003725,0.00158,0.003362,2.4755,5539.1,3745.3
0.00257,0.00058451,0.003725,0.00158,-0.011379,2.6725,4890,4409.4
0.00257,0.0002526,0.0012,0.00158,0.10178,2.9335,4928,4466.4
0.00257,0.0002526,0.00625,0.00158,-0.015952,1.6623,8046.7,1118.7
0.00257,0.0005404,0.0012,0.00158,0.047782,3.4051,2978.4,6454.5
0.00257,0.0005404,0.00625,0.00158,0.010901,2.2466,6210.9,3043.8
0.00257,0.0002526,0.003725,0.0008,0.07345,2.5633,5337.2,4004
0.00257,0.0002526,0.003725,0.00236,0.10445,1.8361,7933.8,1326.4
0.00257,0.0005404,0.003725,0.0008,-0.011146,3.3988,2689.9,6695.2
0.00257,0.0005404,0.003725,0.00236,0.051334,2.2244,6412.8,2870
0.00257,0.000193,0.0019396,0.00158,0.13381,2.4743,6292.6,3063.5
0.00257,0.000193,0.0055104,0.00158,0.055558,1.6285,8331.1,874.54
0.00257,0.0006,0.0019396,0.00158,0.068519,3.1732,3535.1,5883
0.00257,0.0006,0.0055104,0.00158,-0.011184,2.4346,5613.8,3651
0.00257,0.000193,0.0012,0.0008,0.16567,3.2977,3669.8,5820.1
0.00257,0.000193,0.0012,0.00236,0.14616,2.6111,6304.7,3064.5
0.00257,0.000193,0.00625,0.0008,0.00040735,1.954,7105,2108.5
0.00257,0.000193,0.00625,0.00236,0.039291,1.3716,9168.8,0
0.00257,0.0006,0.0012,0.0008,0.048398,4.3383,0,9691.9
0.00257,0.0006,0.0012,0.00236,0.069902,3.0836,4125.4,5276.1
0.00257,0.0006,0.00625,0.0008,-0.13733,3.2067,3329.8,5934.2
0.00257,0.0006,0.00625,0.00236,-0.04764,1.9606,7028.6,2154.1
0.00257,0.000193,0.003725,0.0010285,0.029694,2.1796,6622,2639.4
0.00257,0.000193,0.003725,0.0021315,0.040034,1.8006,8054.1,1157.4
0.00257,0.0006,0.003725,0.0010285,-0.065105,3.2081,3201.6,6126.7
