_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3
0.00174,0.0003965,0.003725,0.00158,0.041395,2.0298,4105.4,4255.1,994.64
0.0018032,0.0003965,0.003725,0.00158,0.044257,2.0547,4126.9,4188.3,1047.9
0.0019831,0.0003965,0.003725,0.00158,0.052147,2.1236,4185.8,4005.5,1193.9
0.0022524,0.0003965,0.003725,0.00158,0.063417,2.2217,4267.2,3751.2,1397.6
0.00257,0.0003965,0.003725,0.00158,0.075925,2.3298,4354.3,3477.5,1617.9
0.0028876,0.0003965,0.003725,0.00158,0.087652,2.4303,4433,3228.5,1819.2
0.0031569,0.0003965,0.003725,0.00158,0.097034,2.51,4494,3034.4,1976.7
0.0033368,0.0003965,0.003725,0.00158,0.10304,2.5607,4532,2912.5,2076
0.0034,0.0003965,0.003725,0.00158,0.10505,2.5781,4544.7,2871.3,2109.8
0.00174,0.000193,0.003725,0.00158,0.076566,1.5962,5445,3231.8,639.64
0.00174,0.0006,0.003725,0.00158,0.018792,2.4291,3018,5081,1292.7
0.0019831,0.000193,0.003725,0.00158,0.092822,1.7038,5527.4,2980.3,842.97
0.0019831,0.0006,0.003725,0.00158,0.032905,2.5132,3100.1,4836.3,1487.1
0.00257,0.000193,0.003725,0.00158,0.12418,1.9367,5698.3,2446.9,1276.2
0.00257,0.0006,0.003725,0.00158,0.059637,2.6992,3270.5,4316.8,1901.4
0.0031569,0.000193,0.003725,0.00158,0.1524,2.1372,5840.1,1999.9,1642.5
0.0031569,0.0006,0.003725,0.00158,0.083822,2.8634,3412.3,3880.7,2252.2
0.0034,0.000193,0.003725,0.00158,0.16551,2.2122,5892.9,1836,1777.9
0.0034,0.0006,0.003725,0.00158,0.09541,2.9256,3465.3,3720.7,2381.9
0.00174,0.0003965,0.0012,0.00158,0.12368,2.8246,4853.8,2113.5,2628.5
0.00174,0.0003965,0.00625,0.00158,0.0040206,1.7337,3825.8,5102.9,324.79
0.0019831,0.0003965,0.0012,0.00158,0.10724,2.9412,4929.1,1826,2855.9
0.0019831,0.0003965,0.00625,0.00158,-0.003283,1.8032,3882.3,4896.5,488.59
0.00257,0.0003965,0.0012,0.00158,0.11936,3.1734,5089.6,1284.4,3295.8
0.00257,0.0003965,0.00625,0.00158,0.00094967,1.9636,4014.4,4449.9,847.21
0.0031569,0.0003965,0.0012,0.00158,0.1284,3.355,5206.1,874.64,3634.2
0.0031569,0.0003965,0.00625,0.00158,0.0048893,2.1122,4129.6,4056.4,1164.8
0.0034,0.0003965,0.0012,0.00158,0.12375,3.4192,5241.9,729.88,3754
0.0034,0.0003965,0.00625,0.00158,-0.0012575,2.1704,4169.7,3904.1,1287.1
0.00174,0.0003965,0.003725,0.0008,-0.074603,2.7438,2165.9,5674.9,1529.1
