_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4
0.00174,0.0003965,0.003725,0.00158,0.04277,2.0298,4474.8,1406.9,2216.6,239.22
0.0019831,0.0003965,0.003725,0.00158,0.053546,2.1236,4315,1712.9,2096.2,233.81
0.00257,0.0003965,0.003725,0.00158,0.07741,2.3298,3995.5,2367.3,1832.2,206.49
0.0031569,0.0003965,0.003725,0.00158,0.09858,2.51,3748.1,2924.6,1600.1,165.57
0.0034,0.0003965,0.003725,0.00158,0.10667,2.578,3661.9,3132,1512,146.04
0.00174,0.000193,0.003725,0.00158,0.050209,1.5962,5948.9,1408.2,801.84,112.51
0.00174,0.0006,0.003725,0.00158,-0.007531,2.4291,3263.2,1433.2,3347.6,318.06
0.00257,0.000193,0.003725,0.00158,0.094193,1.9367,5510.7,2397.5,390.6,42.232
0.00257,0.0006,0.003725,0.00158,0.029649,2.6992,2756.5,2365.7,2987.8,318.13
0.0034,0.000193,0.003725,0.00158,0.13178,2.2122,5210.9,3184.5,49.289,0
0.0034,0.0006,0.003725,0.00158,0.061683,2.9256,2401.2,3109,2686.5,283.9
0.00174,0.0003965,0.0012,0.00158,0.089957,2.8246,2479.2,3817.6,1490,712.68
0.00174,0.0003965,0.00625,0.00158,-0.016196,1.7337,5055.5,391.08,2596.2,209.03
0.00257,0.0003965,0.0012,0.00158,0.11481,3.1734,2035.9,4850.7,1051.6,619.05
0.00257,0.0003965,0.00625,0.00158,-0.0035998,1.9636,4669,1195.5,2267,162.23
0.0034,0.0003965,0.0012,0.00158,0.13273,3.4192,1825.5,5576.4,712.36,480.27
0.0034,0.0003965,0.00625,0.00158,0.0077243,2.1704,4367,1876.2,1981,104.46
0.00174,0.0003965,0.003725,0.0008,-0.065621,2.7438,2337.3,1458.5,4196.1,375.39
0.00174,0.0003965,0.003725,0.00236,-0.013884,1.7202,5230.5,1306.9,1434.9,285.6
0.00257,0.0003965,0.003725,0.0008,-0.043428,3.0167,1885.9,2452.4,3782.7,301.57
0.00257,0.0003965,0.003725,0.00236,0.0069568,2.0298,4706.7,2240.6,1076.6,289.53
0.0034,0.0003965,0.003725,0.0008,-0.026777,3.2449,1565.6,3237,3445.8,216.05
0.0034,0.0003965,0.003725,0.00236,0.023591,2.2842,4339.7,2989.7,772.71,253.99
0.00257,0.0002526,0.003725,0.00158,0.0097764,2.0517,4967.9,2398,845.48,97.177
0.00257,0.0005404,0.003725,0.00158,-0.035918,2.595,3031.7,2376.7,2671.2,289.92
0.00257,0.000193,0.0012,0.00158,0.083199,2.8345,3486,4873.1,0,481.77
0.00257,0.000193,0.00625,0.00158,-0.034146,1.5366,6172.5,1253.4,805.22,0
0.00257,0.0006,0.0012,0.00158,0.013084,3.4971,774.63,4868.1,2193.4,711.97
0.00257,0.0006,0.00625,0.00158,-0.10588,2.3569,3368.1,1185.9,3435.7,295.39
0.00257,0.000193,0.003725,0.0008,-0.0095984,2.3559,4235.5,2562.2,1570.5,0
0.00257,0.000193,0.003725,0.00236,0.010237,1.7589,5794.4,2237.1,29.082,202.45
0.00257,0.0006,0.003725,0.0008,-0.12421,3.5385,217.31,2418.9,5318.1,491.39
0.00257,0.0006,0.003725,0.00236,-0.05829,2.3036,3731.3,2264.3,1968.4,352.04
0.00257,0.0003965,0.0019396,0.00158,-0.0053649,2.8324,2788.6,3891.6,1334.5,410.27
0.00257,0.0003965,0.0055104,0.00158,-0.084507,2.0469,4446.9,1486.5,2157.2,162.72
0.00257,0.0003965,0.0012,0.0008,-0.0026008,3.8715,238.66,5256.9,2725.1,356.54
0.00257,0.0003965,0.0012,0.00236,0.0048902,2.8456,2555.4,4508.7,469.25,910.62
0.00257,0.0003965,0.00625,0.0008,-0.18192,2.6613,2367.1,1159.4,4332.2,420.66
0.00257,0.0003965,0.00625,0.00236,-0.10932,1.6663,5442,1165.3,1431.2,143.17
0.00257,0.0003965,0.003725,0.0010285,-0.11434,2.7364,2679.3,2463.5,2962.2,230.27
0.00257,0.0003965,0.003725,0.0021315,-0.082775,2.0992,4470.5,2296.3,1237.6,260.06
