_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00174,0.0003965,0.003725,0.00158,0.041395,2.0298,5914.1,2111,1269.3,74.419,0
0.0018032,0.0003965,0.003725,0.00158,0.044257,2.0547,5807.3,2215,1277.1,74.586,0
0.0019831,0.0003965,0.003725,0.00158,0.052147,2.1236,5516.1,2498.2,1299.3,74.454,0
0.0022524,0.0003965,0.003725,0.00158,0.063417,2.2217,5113.4,2888.9,1332.3,72.875,0
0.00257,0.0003965,0.003725,0.00158,0.075925,2.3298,4683.2,3304.9,1371,69.263,0
0.0028876,0.0003965,0.003725,0.00158,0.087652,2.4303,4294.8,3679,1408.9,64.172,0
0.0031569,0.0003965,0.003725,0.00158,0.097034,2.51,3994.1,3967.7,1440.6,58.953,0
0.0033368,0.0003965,0.003725,0.00158,0.10304,2.5607,3806.1,4147.7,1461.4,55.102,0
0.0034,0.0003965,0.003725,0.00158,0.10505,2.5781,3742.3,4208.6,1468.7,53.737,0
0.00174,0.000193,0.003725,0.00158,0.076566,1.5962,6047.5,2848,321.2,67.978,0
0.00174,0.0006,0.003725,0.00158,0.018792,2.4291,5809.9,1504.4,2053.4,71.718,0
0.0019831,0.000193,0.003725,0.00158,0.092822,1.7038,5654.1,3231.2,357.45,64.096,0
0.0019831,0.0006,0.003725,0.00158,0.032905,2.5132,5414.7,1894.4,2077.3,75.188,0
0.00257,0.000193,0.003725,0.00158,0.12418,1.9367,4828,4028.9,442.88,50.501,0
0.00257,0.0006,0.003725,0.00158,0.059637,2.6992,4583.9,2707.7,2136.3,77.355,0
0.0031569,0.000193,0.003725,0.00158,0.1524,2.1372,4145.9,4683.4,524.19,33.012,0
0.0031569,0.0006,0.003725,0.00158,0.083822,2.8634,3896.4,3376.8,2195,73.346,0
0.0034,0.000193,0.003725,0.00158,0.16551,2.2122,3898.8,4921,556.38,25.069,0
0.0034,0.0006,0.003725,0.00158,0.09541,2.9256,3647,3620.2,2218.7,70.432,0
0.00174,0.0003965,0.0012,0.00158,0.12368,2.8246,2207.9,5856.9,1259.7,246.12,0
0.00174,0.0003965,0.00625,0.00158,0.0040206,1.7337,7292.6,755.12,1192.6,58.26,0
0.0019831,0.0003965,0.0012,0.00158,0.10724,2.9412,1750.3,6278.7,1301.6,242,0
0.0019831,0.0003965,0.00625,0.00158,-0.003283,1.8032,6964.4,1060.9,1222.2,55.628,0
0.00257,0.0003965,0.0012,0.00158,0.11936,3.1734,919.51,7061.5,1399.6,221.15,0
0.00257,0.0003965,0.00625,0.00158,0.00094967,1.9636,6262.5,1726,1289.8,47.291,0
0.0031569,0.0003965,0.0012,0.00158,0.1284,3.355,313.1,7621,1494,192.3,0
0.0031569,0.0003965,0.00625,0.00158,0.0048893,2.1122,5649.1,2304.5,1354.4,36.779,0
0.0034,0.0003965,0.0012,0.00158,0.12375,3.4192,101.86,7807.9,1532,179.31,0
0.0034,0.0003965,0.00625,0.00158,-0.0012575,2.1704,5411.3,2522.7,1381,31.94,0
0.00174,0.0003965,0.003725,0.0008,-0.074603,2.7438,5672.1,1051.2,2650.8,68.767,0
