_il,_it,_el,_et,meanPt,stdPt,PCA_2,PCA_1,fBD_2
0.00174,0.0003965,0.003725,0.00158,0.041395,2.0298,0.034923,0.068266,0.40883
0.0018032,0.0003965,0.003725,0.00158,0.044257,2.0547,0.031835,0.069149,0.42959
0.0019831,0.0003965,0.003725,0.00158,0.052147,2.1236,0.023388,0.071571,0.44981
0.0022524,0.0003965,0.003725,0.00158,0.063417,2.2217,0.011648,0.074958,0.4688
0.00257,0.0003965,0.003725,0.00158,0.075925,2.3298,-0.00097594,0.078628,0.49026
0.0028876,0.0003965,0.003725,0.00158,0.087652,2.4303,-0.012448,0.08199,0.49972
0.0031569,0.0003965,0.003725,0.00158,0.097034,2.51,-0.021385,0.084628,0.47814
0.0033368,0.0003965,0.003725,0.00158,0.10304,2.5607,-0.026991,0.086293,0.47996
0.0034,0.0003965,0.003725,0.00158,0.10505,2.5781,-0.02888,0.086862,0.47531
0.00174,0.000193,0.003725,0.00158,0.076566,1.5962,-0.038678,0.053485,0.19719
0.00174,0.0006,0.003725,0.00158,0.018792,2.4291,0.094471,0.080488,0.37444
0.0019831,0.000193,0.003725,0.00158,0.092822,1.7038,-0.050347,0.056887,0.20886
0.0019831,0.0006,0.003725,0.00158,0.032905,2.5132,0.083075,0.083706,0.39002
0.00257,0.000193,0.003725,0.00158,0.12418,1.9367,-0.074991,0.064149,0.22517
0.00257,0.0006,0.003725,0.00158,0.059637,2.6992,0.058985,0.090581,0.41184
0.0031569,0.000193,0.003725,0.00158,0.1524,2.1372,-0.095616,0.07032,0.21672
0.0031569,0.0006,0.003725,0.00158,0.083822,2.8634,0.038787,0.096428,0.42486
0.0034,0.000193,0.003725,0.00158,0.16551,2.2122,-0.10321,0.072615,0.21454
0.0034,0.0006,0.003725,0.00158,0.09541,2.9256,0.031345,0.098604,0.41455
0.00174,0.0003965,0.0012,0.00158,0.12368,2.8246,-0.065432,0.094663,0.42317
0.00174,0.0003965,0.00625,0.00158,0.0040206,1.7337,0.074259,0.057218,0.29854
0.0019831,0.0003965,0.0012,0.00158,0.10724,2.9412,-0.078229,0.098384,0.38813
0.0019831,0.0003965,0.00625,0.00158,-0.003283,1.8032,0.065004,0.059908,0.33194
0.00257,0.0003965,0.0012,0.00158,0.11936,3.1734,-0.1029,0.10574,0.34938
0.00257,0.0003965,0.00625,0.00158,0.00094967,1.9636,0.044684,0.065858,0.3893
0.0031569,0.0003965,0.0012,0.00158,0.1284,3.355,-0.12144,0.11144,0.30318
0.0031569,0.0003965,0.00625,0.00158,0.0048893,2.1122,0.026809,0.071142,0.46634
0.0034,0.0003965,0.0012,0.00158,0.12375,3.4192,-0.12784,0.11346,0.28623
0.0034,0.0003965,0.00625,0.00158,-0.0012575,2.1704,0.02002,0.073161,0.47428
0.00174,0.0003965,0.003725,0.0008,-0.074603,2.7438,0.13923,0.089707,0.23537
0.00174,0.0003965,0.003725,0.00236,-0.022866,1.7202,-0.0087925,0.058035,0.37058
0.0019831,0.0003965,0.003725,0.0008,-0.078253,2.8287,0.12756,0.093123,0.23265
0.0019831,0.0003965,0.003725,0.00236,-0.027087,1.8173,-0.020181,0.061243,0.41251
0.00257,0.0003965,0.003725,0.0008,-0.067555,3.0167,0.10297,0.10039,0.2319
0.00257,0.0003965,0.003725,0.00236,-0.017178,2.0298,-0.044302,0.068115,0.43855
0.0031569,0.0003965,0.003725,0.0008,-0.059413,3.1822,0.082457,0.10653,0.21789
0.0031569,0.0003965,0.003725,0.00236,-0.0091444,2.2146,-0.064577,0.073982,0.41752
0.0034,0.0003965,0.003725,0.0008,-0.064587,3.2448,0.074927,0.1088,0.19403
0.0034,0.0003965,0.003725,0.00236,-0.014212,2.2842,-0.07206,0.07617,0.43918
0.00174,0.0002526,0.003725,0.00158,-0.063746,1.724,-0.015387,0.058128,0.38904
0.00174,0.0005404,0.003725,0.00158,0.023074,2.3171,0.078246,0.077131,0.41556
0.00257,0.0002526,0.003725,0.00158,0.10441,2.0517,-0.051578,0.0687,0.31493
0.00257,0.0005404,0.003725,0.00158,0.05869,2.595,0.042641,0.0873,0.46783
0.0034,0.0002526,0.003725,0.00158,0.13875,2.3188,-0.079709,0.077094,0.31888
0.0034,0.0005404,0.003725,0.00158,0.089109,2.8271,0.014917,0.095382,0.45021
0.00174,0.000193,0.0012,0.00158,0.1377,2.454,-0.13864,0.079554,0.26257
0.00174,0.000193,0.00625,0.00158,0.03503,1.2666,0.00028237,0.042736,0.14426
0.00174,0.0006,0.0012,0.00158,0.077788,3.1761,-0.0062238,0.10714,0.32817
0.00174,0.0006,0.00625,0.00158,-0.030879,2.1526,0.13417,0.069189,0.31049
0.00257,0.000193,0.0012,0.00158,0.16001,2.8345,-0.17687,0.091106,0.23261
0.00257,0.000193,0.00625,0.00158,0.042667,1.5366,-0.029537,0.051583,0.1947
0.00257,0.0006,0.0012,0.00158,0.089897,3.4971,-0.042962,0.11779,0.26759
0.00257,0.0006,0.00625,0.00158,-0.029072,2.3569,0.10484,0.077644,0.33948
0.0034,0.000193,0.0012,0.00158,0.17461,3.0998,-0.20226,0.099148,0.2242
0.0034,0.000193,0.00625,0.00158,0.049306,1.7727,-0.054383,0.059059,0.24992
0.0034,0.0006,0.0012,0.00158,0.097607,3.7251,-0.067486,0.12523,0.21571
0.0034,0.0006,0.00625,0.00158,-0.026837,2.5429,0.080359,0.084793,0.35692
0.00174,0.000193,0.003725,0.0008,-0.0019248,2.0302,0.028451,0.068344,0.44337
0.00174,0.000193,0.003725,0.00236,0.021469,1.4191,-0.063096,0.04675,0.14128
0.00174,0.0006,0.003725,0.0008,-0.1083,3.2956,0.21729,0.10527,0.10795
0.00174,0.0006,0.003725,0.00236,-0.042612,2.0201,0.037834,0.06789,0.44437
0.00257,0.000193,0.003725,0.0008,0.093998,2.3559,-0.0082262,0.079437,0.46993
0.00257,0.000193,0.003725,0.00236,0.11383,1.7589,-0.099002,0.057073,0.13466
0.00257,0.0006,0.003725,0.0008,-0.020616,3.5385,0.18146,0.11561,0.11874
0.00257,0.0006,0.003725,0.00236,0.045302,2.3036,0.0027063,0.077745,0.49433
0.0034,0.000193,0.003725,0.0008,0.10942,2.6226,-0.036556,0.08817,0.46343
0.0034,0.000193,0.003725,0.00236,0.12736,2.0329,-0.12704,0.065319,0.16189
0.0034,0.0006,0.003725,0.0008,-0.011804,3.743,0.1537,0.12376,0.10151
