_il,_it,_el,_et,meanPt,stdPt,PCA_2,PCA_1,fBD_2,fBD_12,fBD_22,fBD_32,fBD_42,fBD_52,fBD_62
0.00174,0.0003965,0.003725,0.00158,0.041395,2.0298,0.034923,0.068266,0.49075,0.9809,0.99898,0.99913,0.99996,0.99997,0.99997
0.0018032,0.0003965,0.003725,0.00158,0.044257,2.0547,0.031835,0.069149,0.44946,0.9869,0.99747,0.99947,0.99997,0.99997,0.99997
0.0019831,0.0003965,0.003725,0.00158,0.052147,2.1236,0.023388,0.071571,0.5104,0.99689,0.99995,0.99997,0.99997,0.99997,0.99997
0.0022524,0.0003965,0.003725,0.00158,0.063417,2.2217,0.011648,0.074958,0.47757,0.99725,0.99997,0.99997,0.99997,0.99997,0.99997
0.00257,0.0003965,0.003725,0.00158,0.075925,2.3298,-0.00097594,0.078628,0.50207,0.99995,0.99997,0.99997,0.99997,0.99997,0.99997
0.0028876,0.0003965,0.003725,0.00158,0.087652,2.4303,-0.012448,0.08199,0.45842,0.99973,0.99997,0.99997,0.99997,0.99997,0.99997
0.0031569,0.0003965,0.003725,0.00158,0.097034,2.51,-0.021385,0.084628,0.48064,0.99989,0.99996,0.99997,0.99997,0.99997,0.99997
0.0033368,0.0003965,0.003725,0.00158,0.10304,2.5607,-0.026991,0.086293,0.50048,0.99951,0.99996,0.99997,0.99997,0.99997,0.99997
0.0034,0.0003965,0.003725,0.00158,0.10505,2.5781,-0.02888,0.086862,0.4437,0.99691,0.99994,0.99997,0.99997,0.99997,0.99997
0.00174,0.000193,0.003725,0.00158,0.076566,1.5962,-0.038678,0.053485,0.14367,0.65285,0.80725,0.88172,0.92492,0.95576,0.97966
0.00174,0.0006,0.003725,0.00158,0.018792,2.4291,0.094471,0.080488,0.43725,0.95168,0.99417,0.99972,0.99993,0.99996,0.99996
0.0019831,0.000193,0.003725,0.00158,0.092822,1.7038,-0.050347,0.056887,0.20981,0.69212,0.8609,0.92385,0.97245,0.9802,0.99683
0.0019831,0.0006,0.003725,0.00158,0.032905,2.5132,0.083075,0.083706,0.36751,0.95942,0.99533,0.99995,0.99996,0.99997,0.99997
0.00257,0.000193,0.003725,0.00158,0.12418,1.9367,-0.074991,0.064149,0.23768,0.7265,0.87354,0.94958,0.96891,0.98489,0.99984
0.00257,0.0006,0.003725,0.00158,0.059637,2.6992,0.058985,0.090581,0.42843,0.98964,0.99973,0.99996,0.99997,0.99997,0.99997
0.0031569,0.000193,0.003725,0.00158,0.1524,2.1372,-0.095616,0.07032,0.20953,0.72584,0.85347,0.92895,0.93981,0.98489,0.98865
0.0031569,0.0006,0.003725,0.00158,0.083822,2.8634,0.038787,0.096428,0.40641,0.9823,0.99829,0.99996,0.99996,0.99997,0.99997
0.0034,0.000193,0.003725,0.00158,0.16551,2.2122,-0.10321,0.072615,0.20826,0.6829,0.84745,0.88811,0.933,0.95418,0.96882
0.0034,0.0006,0.003725,0.00158,0.09541,2.9256,0.031345,0.098604,0.37643,0.98635,0.99905,0.99995,0.99996,0.99996,0.99996
0.00174,0.0003965,0.0012,0.00158,0.12368,2.8246,-0.065432,0.094663,0.41875,0.96038,0.99875,0.99951,0.99987,0.9999,0.99993
0.00174,0.0003965,0.00625,0.00158,0.0040206,1.7337,0.074259,0.057218,0.31265,0.76331,0.84191,0.88091,0.90195,0.92506,0.93739
0.0019831,0.0003965,0.0012,0.00158,0.10724,2.9412,-0.078229,0.098384,0.38839,0.97058,0.99117,0.99964,0.9999,0.99996,0.99996
