_il,_it,_el,_et,min,max,std,Mean,Med,pca1,pca2
0.00174,0.0003965,0.003725,0.00158,-3.9636,6.7449,0.77132,0.018815,-0.096133,0.063731,0.046416
0.0018032,0.0003965,0.003725,0.00158,-4.0623,6.8958,0.78764,0.019263,-0.097649,0.065096,0.04291
0.0019831,0.0003965,0.003725,0.00158,-4.3348,7.3144,0.83307,0.020541,-0.10167,0.068887,0.033355
0.0022524,0.0003965,0.003725,0.00158,-4.72,7.9116,0.89826,0.02245,-0.10718,0.07431,0.020158
0.00257,0.0003965,0.003725,0.00158,-5.1428,8.5749,0.97111,0.024696,-0.11335,0.08035,0.0061145
0.0028876,0.0003965,0.003725,0.00158,-5.5352,9.2027,1.0399,0.026929,-0.11881,0.08604,-0.0064746
0.0031569,0.0003965,0.003725,0.00158,-5.8464,9.7076,1.0953,0.028811,-0.12311,0.090613,-0.016138
0.0033368,0.0003965,0.003725,0.00158,-6.0443,10.031,1.131,0.030062,-0.12584,0.09355,-0.022128
0.0034,0.0003965,0.003725,0.00158,-6.112,10.142,1.1432,0.0305,-0.12671,0.09456,-0.024149
0.00174,0.000193,0.003725,0.00158,-3.9396,6.3853,0.71147,0.017533,-0.075428,0.058815,-0.036922
0.00174,0.0006,0.003725,0.00158,-4.0129,7.1246,0.82972,0.020295,-0.10981,0.068151,0.11624
0.0019831,0.000193,0.003725,0.00158,-4.3364,6.9996,0.77825,0.019523,-0.080125,0.064303,-0.049377
0.0019831,0.0006,0.003725,0.00158,-4.358,7.6574,0.88687,0.021798,-0.11566,0.073016,0.10279
0.00257,0.000193,0.003725,0.00158,-5.1982,8.3531,0.9266,0.024285,-0.089883,0.076472,-0.075063
0.00257,0.0006,0.003725,0.00158,-5.1367,8.8541,1.0154,0.025442,-0.12792,0.083854,0.07449
0.0031569,0.000193,0.003725,0.00158,-5.9421,9.5508,1.0592,0.028966,-0.098166,0.087334,-0.095692
0.0031569,0.0006,0.003725,0.00158,-5.8166,9.9226,1.1318,0.029078,-0.13849,0.093586,0.051074
0.0034,0.000193,0.003725,0.00158,-6.2213,10.008,1.1101,0.030877,-0.10126,0.091503,-0.10302
0.0034,0.0006,0.003725,0.00158,-6.0738,10.333,1.1769,0.030576,-0.14241,0.097336,0.042564
0.00174,0.0003965,0.0012,0.00158,-6.1276,9.6786,1.0566,0.021085,-0.11703,0.087237,-0.045534
0.00174,0.0003965,0.00625,0.00158,-2.9403,5.2832,0.61831,0.016462,-0.083066,0.050885,0.081933
0.0019831,0.0003965,0.0012,0.00158,-6.5887,10.364,1.1298,0.022785,-0.12296,0.0933,-0.062317
0.0019831,0.0003965,0.00625,0.00158,-3.222,5.7514,0.67037,0.018158,-0.088109,0.055275,0.072036
0.00257,0.0003965,0.0012,0.00158,-7.5386,11.818,1.2877,0.026987,-0.13534,0.10633,-0.094876
0.00257,0.0003965,0.00625,0.00158,-3.9068,6.8296,0.78922,0.022208,-0.098925,0.065214,0.050678
0.0031569,0.0003965,0.0012,0.00158,-8.3111,13.048,1.4237,0.031243,-0.14519,0.11754,-0.119
0.0031569,0.0003965,0.00625,0.00158,-4.523,7.8226,0.89897,0.026187,-0.10803,0.074323,0.032408
0.0034,0.0003965,0.0012,0.00158,-8.5907,13.506,1.4748,0.033004,-0.14871,0.12175,-0.12711
0.0034,0.0003965,0.00625,0.00158,-4.7606,8.214,0.94197,0.02781,-0.11149,0.077879,0.025621
0.00174,0.0003965,0.003725,0.0008,-4.4302,8.0721,0.94821,0.026147,-0.13033,0.077876,0.14808
0.00174,0.0003965,0.003725,0.00236,-3.625,5.8928,0.65934,0.014423,-0.077214,0.05451,0.0021571
0.0019831,0.0003965,0.003725,0.0008,-4.7967,8.7008,1.0179,0.028748,-0.13713,0.083775,0.13528
0.0019831,0.0003965,0.003725,0.00236,-3.9713,6.4197,0.71488,0.015701,-0.081729,0.059116,-0.010882
0.00257,0.0003965,0.003725,0.0008,-5.6036,10.08,1.1724,0.034876,-0.1517,0.096732,0.10904
0.00257,0.0003965,0.003725,0.00236,-4.7312,7.5923,0.83985,0.018802,-0.091709,0.069438,-0.038492
0.0031569,0.0003965,0.003725,0.0008,-6.3468,11.302,1.3097,0.040803,-0.16344,0.10815,0.088126
0.0031569,0.0003965,0.003725,0.00236,-5.4215,8.6437,0.95332,0.021927,-0.10007,0.078781,-0.061528
0.0034,0.0003965,0.003725,0.0008,-6.6253,11.772,1.3623,0.043209,-0.16756,0.1125,0.080723
0.0034,0.0003965,0.003725,0.00236,-5.6835,9.0485,0.99734,0.023234,-0.10311,0.082399,-0.069946
0.00174,0.0002526,0.003725,0.00158,-3.9448,6.4787,0.72897,0.017927,-0.082719,0.060312,-0.010889
0.00174,0.0005404,0.003725,0.00158,-3.9889,7.0115,0.8129,0.019896,-0.1062,0.066902,0.096992
