x,y,z
-26.943,-35.531,254.75
-26.763,-35.566,254.62
-26.691,-35.259,254.64
-26.6,-35.582,254.86
-26.915,-35.489,254.39
-28.037,-35.003,255.59
-29.356,-34.743,256.54
-29.573,-34.855,253.77
-28.105,-35.297,255.58
-27.953,-35.303,255.79
-26.914,-35.511,255.07
-35.727,-31.237,258.65
-35.738,-31.238,258.32
-35.525,-31.018,258.56
-35.389,-31.443,258.38
-35.83,-31.111,258.55
-35.924,-30.942,258.85
-35.655,-31.166,258.81
-35.439,-31.324,258.77
-32.832,-31.53,256.66
-31.961,-33.786,255.59
-32.314,-33.382,257.89
-33.885,-32.67,257.12
-33.745,-32.469,255.62
-34.012,-32.773,256.14
-34.121,-32.856,255.2
-35.052,-32.117,256.59
-34.179,-31.274,257.61
-34.419,-32.308,257.55
-29.526,-34.706,250.89
-29.345,-34.74,250.76
-29.273,-34.432,250.78
-29.18,-34.765,251
-29.497,-34.663,250.52
-29.825,-34.599,250.76
-30.619,-34.176,251.73
-31.996,-34.019,252.65
-30.841,-34.405,251.48
-30.69,-34.482,251.71
-30.14,-32.042,254.75
-33.253,-33.413,253.65
-32.778,-31.373,253.77
-30.195,-32.2,257.64
-27.982,-34.845,252.71
-27.07,-33.906,253.74
-27.448,-32.554,252.85
-28.361,-33.493,251.81
-30.085,-31.884,251.87
-28.794,-32.298,253.8
-27.503,-32.711,255.73
-35.036,-32.056,253.69
-34.124,-31.117,254.73
-35.415,-30.703,252.79
-34.502,-29.764,253.83
-33.59,-28.825,254.86
-33.211,-30.178,255.76
-30.519,-30.689,253.85
-30.898,-29.337,252.96
-31.81,-30.276,251.92
-32.723,-31.215,250.89
-32.344,-32.568,251.79
-33.535,-28.668,251.98
-34.069,-30.959,251.84
-33.69,-32.312,252.74
-30.953,-29.494,255.84
-28.739,-32.14,250.91
-27.827,-31.201,251.95
-28.206,-29.849,251.05
-29.118,-30.788,250.02
-30.031,-31.727,248.98
-29.652,-33.079,249.88
-30.464,-30.532,250.97
-31.377,-31.471,249.94
-29.552,-29.593,252
-30.998,-32.823,250.83
-29.173,-30.945,252.9
-32.887,-31.688,259.54
-34.334,-31.633,260.52
-34.612,-30.079,259.6
-33.7,-29.14,260.63
-33.321,-30.493,261.53
-33.018,-31.958,262.45
-30.25,-32.357,260.52
-31.008,-29.652,258.72
-31.163,-33.296,259.49
-32.587,-32.761,260.25
-31.596,-32.101,261.47
-32.309,-32.835,260.67
-32.185,-32.942,260.45
-31.96,-33.145,260.05
-32.434,-33.11,258.93
-31.458,-33.6,259.15
-33.107,-32.63,259.49
-33.513,-32.365,259.81
-33.378,-32.244,260.48
-33.645,-28.983,257.75
-31.063,-29.81,261.61
-34.991,-28.727,258.7
-35.903,-29.666,257.67
-36.282,-28.313,256.77
-35.37,-27.374,257.8
-34.457,-26.435,258.83
-34.079,-27.788,259.73
-31.387,-28.3,257.83
-31.765,-26.947,256.93
-34.402,-26.278,255.95
-34.936,-28.569,255.81
-33.111,-26.691,257.88
-34.557,-29.922,256.71
-31.82,-27.105,259.81
-32.409,-29.554,262.56
-32.788,-28.201,261.66
-31.875,-27.262,262.7
-31.497,-28.615,263.59
-31.118,-29.967,264.49
-32.03,-30.906,263.46
-28.426,-30.479,262.59
-28.371,-30.321,259.7
-29.183,-27.774,260.79
-30.096,-28.713,259.76
-29.338,-31.418,261.55
-30.684,-31.162,262.51
-29.772,-30.223,263.54
-30.529,-27.518,261.74
-29.238,-27.931,263.68
-33.166,-26.849,260.77
-33.545,-25.496,259.87
-32.633,-24.557,260.9
-32.254,-25.91,261.8
-30.474,-27.36,258.86
-29.562,-26.421,259.89
-29.941,-25.069,259
-30.853,-26.008,257.96
-32.199,-25.752,258.92
-31.287,-24.813,259.95
-30.908,-26.165,260.85
-27.558,-32.869,258.61
-27.937,-31.516,257.72
-28.316,-30.164,256.82
-29.228,-31.103,255.78
-28.471,-33.808,257.58
-29.817,-33.552,258.53
-28.904,-32.613,259.57
-29.662,-29.908,257.77
-24.866,-33.381,256.71
-24.811,-33.223,253.82
-25.245,-32.028,255.81
-25.624,-30.676,254.91
-26.536,-31.615,253.88
-25.779,-34.32,255.67
-27.125,-34.064,256.63
-26.212,-33.125,257.66
-27.882,-31.359,254.83
-26.97,-30.42,255.87
-26.591,-31.772,256.76
-29.607,-29.75,254.89
-28.695,-28.811,255.92
-29.073,-27.459,255.02
-29.986,-28.398,253.99
-31.71,-26.789,254.04
-30.419,-27.203,255.98
-30.041,-28.555,256.87
-25.734,-30.991,260.68
-27.025,-30.577,258.75
-26.112,-29.638,259.78
-26.491,-28.286,258.88
-27.404,-29.225,257.85
-26.646,-31.93,259.65
-27.992,-31.674,260.6
-27.08,-30.735,261.63
-28.75,-28.969,258.8
-27.837,-28.03,259.84
-26.546,-28.443,261.77
-22.174,-33.893,254.8
-23.465,-33.479,252.87
-22.553,-32.54,253.9
-22.932,-31.188,253.01
-23.844,-32.127,251.97
-24.756,-33.066,250.94
-24.378,-34.418,251.84
-24.025,-35.746,252.74
-23.087,-34.832,253.77
-24.433,-34.576,254.72
-23.52,-33.637,255.75
-25.272,-35.744,253.59
-25.19,-31.871,252.93
-26.102,-32.81,251.89
-24.278,-30.932,253.96
-25.724,-34.162,252.79
-23.899,-32.284,254.86
-45.986,-21.294,253.22
-45.852,-21.436,253.1
-45.763,-21.053,253.13
-45.16,-22.337,254.03
-45.985,-21.281,252.87
-46.14,-20.981,253.39
-46.167,-20.95,252.98
-45.933,-21.246,253.45
-46.142,-19.7,252.23
-46.276,-20.888,252.36
-46.521,-18.348,251.33
-46.899,-19.929,252.2
-46.732,-20.308,251.56
-47.339,-19.234,251.69
-47.408,-19.236,250.27
-46.914,-20.037,251.23
-47.657,-18.691,251.29
-47.867,-18.092,252.28
-49.329,-17.955,253.11
-48.056,-18.287,252.07
-47.955,-18.473,252.26
-47.436,-19.287,253.24
-44.472,-21.466,255.06
-43.126,-21.722,254.1
-44.851,-20.114,254.16
-43.938,-19.174,255.19
-43.56,-20.527,256.09
-43.181,-21.879,256.99
-44.093,-22.819,255.96
-44.496,-23.205,254.7
-44.776,-22.774,254.98
-40.489,-22.391,255.08
-40.434,-22.234,252.2
-40.868,-21.039,254.18
-41.246,-19.686,253.29
-43.071,-21.564,251.22
-42.692,-22.917,252.12
-42.314,-24.269,253.02
-41.401,-23.33,254.05
-42.747,-23.074,255
-41.835,-22.135,256.04
-43.66,-24.014,253.97
-44.26,-23.532,254.95
-43.883,-19.017,252.31
-44.417,-21.308,252.17
-42.592,-19.43,254.24
-44.038,-22.661,253.07
-41.301,-19.844,256.17
-45.229,-18.761,253.26
-45.608,-17.408,252.36
-44.696,-16.469,253.4
-44.317,-17.822,254.3
-41.191,-19.529,250.4
-41.625,-18.334,252.39
-42.004,-16.981,251.49
-43.829,-18.859,249.42
-43.45,-20.212,250.32
-44.641,-16.312,250.51
-45.175,-18.603,250.38
-43.35,-16.725,252.44
-44.796,-19.956,251.28
-42.971,-18.078,253.34
-42.273,-24.471,258.71
-42.802,-23.232,257.89
-41.89,-22.293,258.92
-40.544,-22.549,257.97
-42.269,-20.94,258.02
-41.356,-20.001,259.06
-40.978,-21.354,259.95
-40.599,-22.706,260.85
-41.511,-23.645,259.82
-37.907,-23.218,258.95
-37.852,-23.061,256.06
-38.286,-21.866,258.05
-38.664,-20.513,257.15
-39.577,-21.452,256.12
-40.11,-23.744,255.98
-39.731,-25.096,256.88
-38.819,-24.157,257.91
-40.165,-23.901,258.86
-39.253,-22.962,259.9
-41.077,-24.84,257.83
-40.01,-20.257,258.1
-41.456,-23.488,256.93
-39.632,-21.61,259
-42.647,-19.588,257.12
-43.026,-18.235,256.23
-42.114,-17.296,257.26
-41.735,-18.649,258.16
-39.955,-20.1,255.22
-39.043,-19.161,256.25
-39.422,-17.808,255.35
-40.334,-18.747,254.32
-41.68,-18.491,255.27
-40.768,-17.552,256.31
-40.389,-18.905,257.2
-49.591,-16.483,252.34
-49.949,-16.851,251.93
-50.333,-16.708,252.31
-49.97,-15.131,251.44
-50.791,-16.02,251.8
-50.541,-15.718,250.79
-50.24,-16.289,251.37
-51.116,-14.846,252.36
-51.525,-14.736,250.86
-50.755,-16.02,252.94
-50.574,-16.296,253.04
-50.349,-13.778,250.54
-51.119,-14.571,249.67
-50.727,-12.426,249.65
-51.793,-14.215,250.49
-51.894,-13.689,250.15
-51.425,-13.143,248.86
-51.895,-12.14,250.57
-52.062,-12.087,249.15
-51.542,-13.471,251.42
-45.987,-16.056,251.47
-46.899,-16.995,250.43
-47.278,-15.642,249.54
-46.366,-14.703,250.57
-45.453,-13.764,251.6
-45.075,-15.117,252.5
-41.949,-16.824,248.61
-42.383,-15.629,250.59
-42.761,-14.276,249.7
-43.674,-15.215,248.66
-44.586,-16.154,247.63
-44.207,-17.507,248.53
-45.398,-13.607,248.72
-45.932,-15.898,248.58
-44.107,-14.02,250.65
-45.553,-17.251,249.48
-43.729,-15.373,251.55
-46.744,-13.351,249.67
-47.657,-14.29,248.64
-48.035,-12.937,247.74
-47.123,-11.998,248.77
-46.211,-11.059,249.81
-45.832,-12.412,250.7
-44.052,-13.863,247.76
-43.14,-12.924,248.8
-43.519,-11.571,247.9
-44.431,-12.51,246.87
-45.343,-13.449,245.83
-44.965,-14.802,246.73
-46.156,-10.902,246.92
-46.689,-13.193,246.79
-44.865,-11.315,248.85
-46.311,-14.546,247.68
-44.486,-12.668,249.75
-51.106,-11.073,248.75
-51.5,-12.178,248.49
-51.485,-9.7205,247.85
-52.068,-11.364,248.71
-51.58,-11.561,248.21
-52.181,-10.474,248.15
-51.838,-10.084,247.45
-51.731,-10.777,247.79
-52.48,-9.5313,248.55
-52.297,-9.5144,247.55
-52.237,-10.573,249.29
-52.204,-10.864,249.52
-52.209,-11.044,249.69
-51.864,-8.368,246.95
-51.943,-9.5738,247.16
-52.277,-7.019,246.03
-52.387,-8.5262,246.93
-52.111,-8.6229,246.67
-52.667,-8.2153,247.52
-52.668,-8.6175,247.89
-47.502,-10.646,247.88
-48.414,-11.585,246.84
-48.793,-10.232,245.94
-47.881,-9.2933,246.98
-46.968,-8.3542,248.01
-46.59,-9.7068,248.91
-44.81,-11.158,245.97
-43.898,-10.219,247
-44.276,-8.8661,246.1
-45.189,-9.8051,245.07
-46.101,-10.744,244.04
-45.722,-12.097,244.94
