P1,P2,P3,P4,PCC,RSME,AE,3mVAE,1mVAE
25,6.25,9,10,0.84697,1.2402,7.2957,4.9723,15.204
25,6.25,9,11,0.85138,1.2251,7.2549,4.7042,15.265
25,6.25,9,12,0.85458,1.2128,7.2222,4.5334,15.207
25,6.25,9,13,0.85647,1.2043,7.1947,4.3722,15.073
25,6.25,9,14,0.85634,1.0385,6.8097,3.6755,12.485
25,6.25,10,11,0.85231,1.2233,7.2325,4.6772,15.23
25,6.25,10,12,0.85492,1.2122,7.2097,4.5202,15.18
25,6.25,10,13,0.85651,1.2043,7.1905,4.3626,15.076
25,6.25,10,14,0.85626,1.0416,6.8195,3.6936,12.519
25,6.25,10,15,0.85503,0.96452,6.5975,3.3712,11.887
25,6.25,11,12,0.8554,1.2104,7.1979,4.4599,15.182
25,6.25,11,13,0.85662,1.2037,7.1845,4.3352,15.063
25,6.25,11,14,0.85629,1.0387,6.8119,3.6769,12.495
25,6.25,11,15,0.85507,0.97339,6.6257,3.4251,11.928
25,6.25,11,16,0.85382,0.94132,6.5141,3.2781,11.719
25,6.25,12,13,0.85674,1.2027,7.1783,4.2823,15.094
25,6.25,12,14,0.85622,1.0215,6.7668,3.6038,12.327
25,6.25,12,15,0.85504,0.97479,6.63,3.4291,11.938
25,6.25,12,16,0.85424,0.9545,6.5611,3.3378,11.794
25,6.25,12,17,0.85366,0.94343,6.5198,3.2906,11.722
25,6.25,13,14,0.85451,0.96004,6.5806,3.3648,11.842
25,6.25,13,15,0.85451,0.96004,6.5806,3.3648,11.842
25,6.25,13,16,0.85451,0.96004,6.5806,3.3648,11.842
25,6.25,13,17,0.85451,0.96004,6.5806,3.3648,11.842
25,6.25,13,18,0.85451,0.96004,6.5806,3.3648,11.842
25,6.5,9,10,0.84541,1.2607,7.3646,5.1612,15.312
25,6.5,9,11,0.84981,1.2458,7.321,4.9076,15.348
25,6.5,9,12,0.85296,1.2338,7.2856,4.7635,15.299
25,6.5,9,13,0.85471,1.2259,7.2559,4.6228,15.194
25,6.5,9,14,0.85527,1.0441,6.8395,3.8143,12.3
25,6.5,10,11,0.85053,1.2453,7.2955,4.9225,15.353
25,6.5,10,12,0.85316,1.2341,7.2702,4.7652,15.31
25,6.5,10,13,0.85468,1.2264,7.2491,4.6236,15.203
25,6.5,10,14,0.85527,1.0444,6.8406,3.8168,12.307
25,6.5,10,15,0.85449,0.95971,6.5959,3.4262,11.579
25,6.5,11,12,0.85348,1.2331,7.2565,4.7368,15.334
25,6.5,11,13,0.85469,1.2263,7.2414,4.6072,15.226
25,6.5,11,14,0.85534,1.0377,6.8227,3.7856,12.22
25,6.5,11,15,0.85446,0.96508,6.6137,3.455,11.616
25,6.5,11,16,0.85341,0.93042,6.4879,3.2835,11.486
25,6.5,12,13,0.85468,1.2257,7.2339,4.5472,15.29
25,6.5,12,14,0.85536,1.0144,6.7611,3.6773,12
25,6.5,12,15,0.85441,0.96204,6.6037,3.4401,11.587
25,6.5,12,16,0.85366,0.94003,6.5247,3.3456,11.493
25,6.5,12,17,0.8531,0.92834,6.4772,3.2753,11.47
25,6.5,13,14,0.85375,0.9415,6.5303,3.3563,11.492
25,6.5,13,15,0.85375,0.9415,6.5303,3.3563,11.492
25,6.5,13,16,0.85375,0.9415,6.5303,3.3563,11.492
25,6.5,13,17,0.85375,0.9415,6.5303,3.3563,11.492
25,6.5,13,18,0.85375,0.9415,6.5303,3.3563,11.492
25,6.75,9,10,0.84362,1.2813,7.4257,5.2829,15.5
25,6.75,9,11,0.84802,1.2668,7.3791,5.0489,15.53
25,6.75,9,12,0.85109,1.2553,7.3412,4.924,15.483
25,6.75,9,13,0.85269,1.248,7.3093,4.8018,15.389
25,6.75,9,14,0.85388,1.0511,6.8629,3.9823,12.081
25,6.75,10,11,0.84849,1.2678,7.3506,5.1107,15.54
25,6.75,10,12,0.85109,1.2567,7.323,4.9591,15.521
25,6.75,10,13,0.85252,1.2493,7.2999,4.822,15.435
25,6.75,10,14,0.85391,1.0485,6.8548,3.9603,12.046
25,6.75,10,15,0.85361,0.95679,6.5879,3.4976,11.349
25,6.75,11,12,0.8512,1.2566,7.3072,4.9438,15.582
25,6.75,11,13,0.85236,1.2499,7.2904,4.8121,15.483
25,6.75,11,14,0.85404,1.0379,6.8259,3.8939,11.963
25,6.75,11,15,0.85359,0.95844,6.5938,3.5118,11.349
25,6.75,11,16,0.85272,0.92195,6.4542,3.2984,11.232
25,6.75,12,13,0.85217,1.25,7.2816,4.7656,15.575
25,6.75,12,14,0.85419,1.0084,6.7464,3.7369,11.709
25,6.75,12,15,0.85352,0.95098,6.5683,3.4788,11.32
25,6.75,12,16,0.85285,0.92785,6.4788,3.3371,11.246
25,6.75,12,17,0.85231,0.91595,6.425,3.2593,11.23
25,6.75,13,14,0.85277,0.92528,6.4678,3.325,11.24
25,6.75,13,15,0.85277,0.92528,6.4678,3.325,11.24
25,6.75,13,16,0.85277,0.92528,6.4678,3.325,11.24
25,6.75,13,17,0.85277,0.92528,6.4678,3.325,11.24
25,6.75,13,18,0.85277,0.92528,6.4678,3.325,11.24
25,7,9,10,0.84172,1.3017,7.5119,5.3841,15.814
25,7,9,11,0.84608,1.2876,7.4846,5.1679,15.821
25,7,9,12,0.84904,1.2767,7.4545,5.0582,15.766
25,7,9,13,0.85047,1.2703,7.4252,4.9502,15.69
25,7,9,14,0.85223,1.0589,6.9332,4.1563,11.958
25,7,10,11,0.84624,1.2903,7.4671,5.2727,15.847
