x,y,z
80927.000000,10962.200195,30482.900391
82229.000000,11062.700195,30828.000000
81955.101562,12244.099609,29965.699219
80949.296875,12207.400391,31379.800781
96639.601562,-12442.599609,-8122.609863
95738.796875,-12820.799805,-6873.080078
96324.601562,-11635.599609,-6539.899902
95452.601562,-11755.599609,-7785.200195
86440.296875,7249.040039,5047.589844
86548.796875,9094.599609,5124.609863
87558.796875,8174.020020,5378.680176
86678.000000,7951.299805,4071.540039
104547.000000,-16781.400391,10329.099609
104925.000000,-16190.500000,8859.799805
104784.000000,-17649.300781,9222.809570
102958.000000,-16751.699219,8444.650391
56128.898438,19954.699219,2891.000000
55101.300781,18611.300781,2600.020020
54729.101562,20001.900391,2814.189941
55516.398438,19618.500000,1563.520020
90958.703125,-25545.099609,-20537.800781
91325.203125,-24702.800781,-21556.300781
90557.500000,-24202.599609,-19980.199219
91837.500000,-24842.599609,-19902.500000
85661.500000,-47026.898438,13184.799805
85471.601562,-47548.101562,11840.299805
86621.898438,-47149.800781,12499.500000
85854.296875,-48788.000000,12935.000000
35714.500000,-23470.099609,3532.149902
36289.199219,-22103.500000,4431.439941
35282.000000,-22133.599609,3480.739990
34947.199219,-22749.599609,4764.930176
63269.398438,11382.500000,4015.429932
62148.699219,11322.599609,4905.129883
62502.800781,10379.599609,3797.709961
62250.699219,10059.500000,5228.109863
92432.000000,-5026.189941,24294.300781
91507.000000,-4085.419922,24477.800781
58768.101562,-36965.601562,42895.500000
58608.898438,-38716.199219,42831.500000
58389.398438,-37505.101562,41734.101562
59940.699219,-37730.500000,42274.500000
79813.500000,-1326.339966,47928.800781
79022.796875,-1276.250000,46771.101562
80684.898438,-643.870972,47373.199219
80441.703125,-1839.810059,46446.300781
48349.199219,-22723.400391,37362.898438
49596.398438,-23274.900391,37350.898438
49955.398438,-22302.800781,38213.601562
48839.000000,-23350.099609,38522.601562
105655.000000,-52339.199219,2205.850098
106315.000000,-50891.199219,1268.250000
106183.000000,-52369.699219,738.021973
104979.000000,-51474.000000,1280.310059
117734.000000,-32207.000000,4438.819824
116618.000000,-31041.900391,4460.580078
117829.000000,-31924.500000,3313.020020
116120.000000,-32095.500000,3591.739990
66925.101562,-43462.601562,30565.599609
67769.101562,-42001.398438,31132.199219
67925.703125,-43520.398438,29970.800781
67160.000000,-42053.699219,29849.900391
92383.500000,-18580.800781,40899.601562
92086.000000,-19423.099609,41835.500000
