CC,L2orm,t1,t2,t3,p1,p2,p3,z1,z2,z3,thr1,thr2,thr3,cv
0.0127936294,181.572047925,15.39,3.98,9.16,0.22,0.99,0.23,0.59,0.52,0.25,6.02,6.19,6.2,1.06
-0.2271170705,288.603545284,18.82,2.13,16.13,0.23,0.79,0.68,0.4,0.79,0.48,1.1,1.27,3.29,3.37
-0.0657887747,177.080824824,6.62,3.77,18.1,0.5,0.33,0.51,0.95,0.77,0.8,9.63,3.36,8.03,3.19
0.3260292385,150.972343781,4.31,3.84,19.61,0.1,0.95,0.65,0.38,0.87,0.67,1.57,4.45,4.7,3.5
-0.3191123281,347.961581578,14.6,9.59,10.85,0.29,0.07,0.13,0.81,0.88,0.65,8.01,7.18,9.67,1.18
0.2299178728,158.592137223,16.96,14.61,6.35,0.2,0.8,0.33,0.95,0.67,0.35,9.54,8.54,5.15,3.43
0.2419653571,203.103096626,7.09,14.95,2.81,0.26,0.03,0.3,0.2,0.33,0.51,9.32,4.19,8.21,2.52
-0.1775456193,202.878248301,13.48,2.83,15.39,0.77,0.01,0.54,0.82,0.94,0.97,6.33,5.21,3.82,2.69
0.2983536502,144.005137992,17.28,5.18,0.4,0.59,0.54,0.58,0.63,0.37,0.95,8.6,4.86,2.45,2.85
0.224897588,161.962805164,19.17,13.95,9.77,0.37,0.84,0.42,0.21,0.29,0.57,4.09,9.74,1.97,2.03
0.2037233594,172.340137427,14.44,7.22,16.73,0.53,0.82,0.27,0.74,0.47,0.49,4.51,7.59,8.98,1.82
-0.1912291766,236.507099971,6.68,11.41,8.6,0.94,0.76,0.52,0.94,0.91,0.33,6.18,2.8,7.08,1.53
0.1495185423,157.270417681,7.48,15.21,15.85,0.07,0.97,0.3,0.68,0.46,0.21,5.09,1.13,8.99,2.95
-0.001750281,142.330477346,17.59,14.45,17.97,0.82,0.39,0.71,0.79,0.24,0.83,8.17,2.63,3.53,2.31
0.0310520364,148.123868461,7.88,6.69,3.41,0.06,0.77,0.72,0.96,0.62,0.96,4.2,7.28,7.68,1.44
0.0150751826,165.219384021,8.61,8.82,4.75,0.91,0.63,0.6,0.98,0.43,0.24,5.12,4.96,8.16,1.34
-0.1417892992,505.442054211,11.92,14.99,4.09,0.73,0.97,0.86,0.57,0.59,0.97,7.48,2.86,6.79,1.28
