_il,_it,_el,_et,median,meanPt,stdPt,min,max
0.00174,0.0003965,0.003725,0.00158,-0.62984,0.04277,2.0298,-3.1446,8.5377
0.0019831,0.0003965,0.003725,0.00158,-0.63238,0.053546,2.1236,-3.7843,9.0963
0.00257,0.0003965,0.003725,0.00158,-0.63689,0.07741,2.3298,-5.1471,10.3
0.0031569,0.0003965,0.003725,0.00158,-0.63947,0.09858,2.51,-6.3005,11.332
0.0034,0.0003965,0.003725,0.00158,-0.64018,0.10667,2.578,-6.7278,11.717
0.00174,0.000193,0.003725,0.00158,-0.38307,0.050209,1.5962,-4.9148,7.3852
0.00174,0.0006,0.003725,0.00158,-0.87721,-0.007531,2.4291,-1.7868,9.5153
0.00257,0.000193,0.003725,0.00158,-0.38259,0.094193,1.9367,-6.959,9.2375
0.00257,0.0006,0.003725,0.00158,-0.88028,0.029649,2.6992,-3.7368,11.192
0.0034,0.000193,0.003725,0.00158,-0.37878,0.13178,2.2122,-8.5654,10.737
0.0034,0.0006,0.003725,0.00158,-0.8799,0.061683,2.9256,-5.2804,12.554
0.00174,0.0003965,0.0012,0.00158,-0.69532,0.089957,2.8246,-8.2181,12.718
0.00174,0.0003965,0.00625,0.00158,-0.64389,-0.016196,1.7337,-1.0264,6.7007
0.00257,0.0003965,0.0012,0.00158,-0.72016,0.11481,3.1734,-10.416,14.676
0.00257,0.0003965,0.00625,0.00158,-0.66397,-0.0035998,1.9636,-2.7024,8.138
0.0034,0.0003965,0.0012,0.00158,-0.73466,0.13273,3.4192,-11.945,16.061
0.0034,0.0003965,0.00625,0.00158,-0.68027,0.0077243,2.1704,-4.1095,9.3722
0.00174,0.0003965,0.003725,0.0008,-1.0793,-0.065621,2.7438,-1.1901,10.409
0.00174,0.0003965,0.003725,0.00236,-0.53559,-0.013884,1.7202,-4.0785,7.5237
0.00257,0.0003965,0.003725,0.0008,-1.1014,-0.043428,3.0167,-2.8485,12.028
0.00257,0.0003965,0.003725,0.00236,-0.55759,0.0069568,2.0298,-6.0476,9.2125
0.0034,0.0003965,0.003725,0.0008,-1.1151,-0.026777,3.2449,-4.452,13.451
0.0034,0.0003965,0.003725,0.00236,-0.57464,0.023591,2.2842,-7.6215,10.589
0.00257,0.0002526,0.003725,0.00158,-0.54163,0.0097764,2.0517,-6.4621,9.4799
0.00257,0.0005404,0.003725,0.00158,-0.89229,-0.035918,2.595,-4.1973,10.859
0.00257,0.000193,0.0012,0.00158,-0.51778,0.083199,2.8345,-12.271,13.688
0.00257,0.000193,0.00625,0.00158,-0.45446,-0.034146,1.5366,-4.583,7.0425
0.00257,0.0006,0.0012,0.00158,-1.0141,0.013084,3.4971,-9.0646,15.476
0.00257,0.0006,0.00625,0.00158,-0.96385,-0.10588,2.3569,-1.3238,8.9735
0.00257,0.000193,0.003725,0.0008,-0.70664,-0.0095984,2.3559,-5.6143,10.53
0.00257,0.000193,0.003725,0.00236,-0.37889,0.010237,1.7589,-7.3616,8.4446
0.00257,0.0006,0.003725,0.0008,-1.4323,-0.12421,3.5385,-1.6058,13.396
0.00257,0.0006,0.003725,0.00236,-0.77601,-0.05829,2.3036,-4.9977,9.9225
0.00257,0.0003965,0.0019396,0.00158,-0.79292,-0.0053649,2.8324,-8.4594,12.841
0.00257,0.0003965,0.0055104,0.00158,-0.75706,-0.084507,2.0469,-3.3746,8.5437
0.00257,0.0003965,0.0012,0.0008,-1.186,-0.0026008,3.8715,-8.785,17.009
0.00257,0.0003965,0.0012,0.00236,-0.66451,0.0048902,2.8456,-10.823,13.191
0.00257,0.0003965,0.00625,0.0008,-1.172,-0.18192,2.6613,-1.4858,10.056
0.00257,0.0003965,0.00625,0.00236,-0.62094,-0.10932,1.6663,-3.8272,7.1976
0.00257,0.0003965,0.003725,0.0010285,-1.0322,-0.11434,2.7364,-3.9489,11.254
0.00257,0.0003965,0.003725,0.0021315,-0.68194,-0.082775,2.0992,-5.9701,9.3778
