-il,_it,_el,_et,pca_2,pca_1,fBD8,fBD7,fBD6,fBD5,fBD4,fBD3,fBD2
0.00174,0.0003965,0.003725,0.00158,0.068528,0.12616,0.89872,0.86907,0.8294,0.76431,0.67695,0.56716,0.38329
0.0019831,0.0003965,0.003725,0.00158,0.045962,0.13227,0.95808,0.95154,0.9045,0.84324,0.77496,0.64209,0.46728
0.00257,0.0003965,0.003725,0.00158,-0.0016879,0.14531,0.98433,0.97629,0.96793,0.91499,0.81997,0.75328,0.44963
0.0031569,0.0003965,0.003725,0.00158,-0.041597,0.1564,0.96723,0.97888,0.94254,0.90831,0.85163,0.72724,0.50028
0.0034,0.0003965,0.003725,0.00158,-0.056283,0.16053,0.98281,0.9662,0.94456,0.88493,0.84031,0.66157,0.46491
0.00174,0.000193,0.003725,0.00158,-0.075539,0.09885,0.42212,0.37797,0.37647,0.31238,0.25761,0.21768,0.142
0.00174,0.0006,0.003725,0.00158,0.18509,0.14874,0.88943,0.82807,0.83378,0.72942,0.72008,0.57545,0.39278
0.00257,0.000193,0.003725,0.00158,-0.14655,0.11856,0.57628,0.52608,0.46803,0.45629,0.33443,0.27157,0.1847
0.00257,0.0006,0.003725,0.00158,0.11568,0.1674,0.91881,0.93328,0.90275,0.81037,0.76377,0.64204,0.49038
0.0034,0.000193,0.003725,0.00158,-0.2017,0.13421,0.48885,0.51015,0.47875,0.41208,0.36687,0.28666,0.19477
0.0034,0.0006,0.003725,0.00158,0.061623,0.18223,0.92186,0.91329,0.88371,0.79149,0.72865,0.61619,0.41374
0.00174,0.0003965,0.0012,0.00158,-0.12796,0.17494,0.91829,0.90266,0.83843,0.79119,0.77372,0.56315,0.38667
0.00174,0.0003965,0.00625,0.00158,0.14548,0.10574,0.71352,0.65629,0.6424,0.54711,0.51985,0.45696,0.31061
0.00257,0.0003965,0.0012,0.00158,-0.20121,0.19542,0.82026,0.74119,0.76732,0.65737,0.64377,0.46306,0.30498
0.00257,0.0003965,0.00625,0.00158,0.087651,0.12171,0.86353,0.83703,0.82019,0.77486,0.70188,0.57024,0.39855
0.0034,0.0003965,0.0012,0.00158,-0.24996,0.20969,0.67785,0.66164,0.63995,0.57753,0.50801,0.3852,0.27247
0.0034,0.0003965,0.00625,0.00158,0.039428,0.13521,0.98084,0.95031,0.93761,0.92137,0.84019,0.7151,0.51229
0.00174,0.0003965,0.003725,0.0008,0.27271,0.16578,0.66249,0.61312,0.57423,0.50838,0.38487,0.35857,0.24542
0.00174,0.0003965,0.003725,0.00236,-0.017094,0.10725,0.78297,0.75142,0.69724,0.64539,0.58762,0.4452,0.34201
0.00257,0.0003965,0.003725,0.0008,0.20181,0.18552,0.71138,0.65848,0.5759,0.51913,0.51683,0.36625,0.27274
0.00257,0.0003965,0.003725,0.00236,-0.086559,0.12588,0.92048,0.88896,0.81589,0.7627,0.69107,0.55102,0.37817
0.0034,0.0003965,0.003725,0.0008,0.14698,0.20108,0.65602,0.54863,0.51763,0.48372,0.42347,0.33425,0.26313
0.0034,0.0003965,0.003725,0.00236,-0.14084,0.14078,0.8982,0.87936,0.86032,0.73493,0.72492,0.58483,0.37066
0.00257,0.0002526,0.003725,0.00158,-0.10072,0.12697,0.85252,0.82055,0.80697,0.74338,0.73129,0.5045,0.35749
0.00257,0.0005404,0.003725,0.00158,0.083687,0.16134,0.96087,0.92643,0.89949,0.81045,0.81332,0.60781,0.4108
0.00257,0.000193,0.0012,0.00158,-0.34601,0.16838,0.59797,0.5887,0.53957,0.52345,0.42957,0.35648,0.21522
0.00257,0.000193,0.00625,0.00158,-0.0576,0.095336,0.60502,0.51319,0.50827,0.46932,0.38183,0.2832,0.20696
0.00257,0.0006,0.0012,0.00158,-0.083895,0.21769,0.65468,0.61415,0.54543,0.48528,0.43574,0.37665,0.22969
0.00257,0.0006,0.00625,0.00158,0.20539,0.14349,0.79596,0.76493,0.75505,0.68247,0.60609,0.50198,0.26661
0.00257,0.000193,0.003725,0.0008,-0.01577,0.14681,0.991,0.96968,0.96428,0.91428,0.85305,0.70963,0.47059
0.00257,0.000193,0.003725,0.00236,-0.19363,0.10548,0.49715,0.44732,0.43442,0.37161,0.35061,0.27346,0.185
0.00257,0.0006,0.003725,0.0008,0.35543,0.21364,0.21494,0.19968,0.18772,0.16174,0.15516,0.11245,0.079316
0.00257,0.0006,0.003725,0.00236,0.0054643,0.14368,0.98935,0.99199,0.97422,0.93676,0.8705,0.72523,0.48163
0.00257,0.0003965,0.0019396,0.00158,-0.12111,0.17566,0.91888,0.91569,0.88416,0.8027,0.74698,0.57229,0.44606
0.00257,0.0003965,0.0055104,0.00158,0.067033,0.12724,0.95379,0.94226,0.93387,0.90093,0.78084,0.6633,0.52417
0.00257,0.0003965,0.0012,0.0008,-0.0082571,0.24147,0.39461,0.34819,0.33576,0.28447,0.22829,0.2413,0.1323
0.00257,0.0003965,0.0012,0.00236,-0.27741,0.1719,0.68462,0.65799,0.64509,0.56039,0.50237,0.44154,0.27574
0.00257,0.0003965,0.00625,0.0008,0.29435,0.15951,0.49672,0.42496,0.44579,0.36644,0.33617,0.25564,0.19079
0.00257,0.0003965,0.00625,0.00236,-0.00018093,0.10393,0.83729,0.83583,0.79247,0.73591,0.66281,0.54733,0.38823
0.00257,0.0003965,0.003725,0.0010285,0.11841,0.16968,0.84766,0.78227,0.69429,0.67292,0.57453,0.50976,0.32731
0.00257,0.0003965,0.003725,0.0021315,-0.06748,0.13052,0.98338,0.97174,0.95049,0.93936,0.84202,0.72599,0.48298
