-il,_it,_el,_et,pca_2,pca_1,fBD3,fBD2
0.00174,0.0003965,0.003725,0.00158,0.068528,0.12616,0.76936,0.56223
0.0019831,0.0003965,0.003725,0.00158,0.045962,0.13227,0.8498,0.45919
0.00257,0.0003965,0.003725,0.00158,-0.0016879,0.14531,0.78113,0.41155
0.0031569,0.0003965,0.003725,0.00158,-0.041597,0.1564,0.45985,0.60253
0.0034,0.0003965,0.003725,0.00158,-0.056283,0.16053,0.66188,0.56023
0.00174,0.000193,0.003725,0.00158,-0.075539,0.09885,0.17087,0.13
0.00174,0.0006,0.003725,0.00158,0.18509,0.14874,0.61444,0.5966
0.00257,0.000193,0.003725,0.00158,-0.14655,0.11856,0.31764,0.27215
0.00257,0.0006,0.003725,0.00158,0.11568,0.1674,0.73414,0.53375
0.0034,0.000193,0.003725,0.00158,-0.2017,0.13421,0.25201,0.26111
0.0034,0.0006,0.003725,0.00158,0.061623,0.18223,0.56419,0.4447
0.00174,0.0003965,0.0012,0.00158,-0.12796,0.17494,0.48155,0.62307
0.00174,0.0003965,0.00625,0.00158,0.14548,0.10574,0.45667,0.2765
0.00257,0.0003965,0.0012,0.00158,-0.20121,0.19542,0.50077,0.1715
0.00257,0.0003965,0.00625,0.00158,0.087651,0.12171,0.66132,0.33666
0.0034,0.0003965,0.0012,0.00158,-0.24996,0.20969,0.42777,0.33428
0.0034,0.0003965,0.00625,0.00158,0.039428,0.13521,0.67886,0.43565
0.00174,0.0003965,0.003725,0.0008,0.27271,0.16578,0.46097,0.39019
0.00174,0.0003965,0.003725,0.00236,-0.017094,0.10725,0.36561,0.47438
0.00257,0.0003965,0.003725,0.0008,0.20181,0.18552,0.16039,0.34748
0.00257,0.0003965,0.003725,0.00236,-0.086559,0.12588,0.39741,0.47843
0.0034,0.0003965,0.003725,0.0008,0.14698,0.20108,0.40012,0.16206
0.0034,0.0003965,0.003725,0.00236,-0.14084,0.14078,0.28082,0.41717
0.00257,0.0002526,0.003725,0.00158,-0.10072,0.12697,0.6447,0.5156
0.00257,0.0005404,0.003725,0.00158,0.083687,0.16134,0.64876,0.37339
0.00257,0.000193,0.0012,0.00158,-0.34601,0.16838,0.29732,0.33222
0.00257,0.000193,0.00625,0.00158,-0.0576,0.095336,0.51948,0.24507
0.00257,0.0006,0.0012,0.00158,-0.083895,0.21769,0.40693,0.29259
0.00257,0.0006,0.00625,0.00158,0.20539,0.14349,0.48223,0.24262
0.00257,0.000193,0.003725,0.0008,-0.01577,0.14681,0.70334,0.5029
0.00257,0.000193,0.003725,0.00236,-0.19363,0.10548,0.13694,0.19789
0.00257,0.0006,0.003725,0.0008,0.35543,0.21364,0.14552,0.10267
0.00257,0.0006,0.003725,0.00236,0.0054643,0.14368,0.81322,0.42072
0.00257,0.0003965,0.0019396,0.00158,-0.12111,0.17566,0.77176,0.43485
0.00257,0.0003965,0.0055104,0.00158,0.067033,0.12724,0.58585,0.54364
0.00257,0.0003965,0.0012,0.0008,-0.0082571,0.24147,0.27951,0.18578
0.00257,0.0003965,0.0012,0.00236,-0.27741,0.1719,0.39222,0.34294
0.00257,0.0003965,0.00625,0.0008,0.29435,0.15951,0.28535,0.16778
0.00257,0.0003965,0.00625,0.00236,-0.00018093,0.10393,0.5523,0.18009
0.00257,0.0003965,0.003725,0.0010285,0.11841,0.16968,0.37392,0.45535
0.00257,0.0003965,0.003725,0.0021315,-0.06748,0.13052,0.88197,0.64417
