-il,_it,_el,_et,pca_2,pca_1,fBD3,fBD2
0.00174,0.0003965,0.003725,0.00158,0.034923,0.068266,0.59834,0.39043
0.0018032,0.0003965,0.003725,0.00158,0.031835,0.069149,0.65368,0.4085
0.0019831,0.0003965,0.003725,0.00158,0.023388,0.071571,0.64687,0.40245
0.0022524,0.0003965,0.003725,0.00158,0.011648,0.074958,0.7135,0.49787
0.00257,0.0003965,0.003725,0.00158,-0.00097594,0.078628,0.74115,0.44704
0.0028876,0.0003965,0.003725,0.00158,-0.012448,0.08199,0.74589,0.51542
0.0031569,0.0003965,0.003725,0.00158,-0.021385,0.084628,0.72862,0.47523
0.0033368,0.0003965,0.003725,0.00158,-0.026991,0.086293,0.72339,0.47657
0.0034,0.0003965,0.003725,0.00158,-0.02888,0.086862,0.72642,0.44317
0.00174,0.000193,0.003725,0.00158,-0.038678,0.053485,0.26345,0.17991
0.00174,0.0006,0.003725,0.00158,0.094471,0.080488,0.60121,0.38599
0.0019831,0.000193,0.003725,0.00158,-0.050347,0.056887,0.33984,0.19642
0.0019831,0.0006,0.003725,0.00158,0.083075,0.083706,0.60253,0.39251
0.00257,0.000193,0.003725,0.00158,-0.074991,0.064149,0.33399,0.21111
0.00257,0.0006,0.003725,0.00158,0.058985,0.090581,0.68649,0.36095
0.0031569,0.000193,0.003725,0.00158,-0.095616,0.07032,0.30902,0.2212
0.0031569,0.0006,0.003725,0.00158,0.038787,0.096428,0.58583,0.38258
0.0034,0.000193,0.003725,0.00158,-0.10321,0.072615,0.32517,0.20582
0.0034,0.0006,0.003725,0.00158,0.031345,0.098604,0.66023,0.39664
0.00174,0.0003965,0.0012,0.00158,-0.065432,0.094663,0.61385,0.37703
0.00174,0.0003965,0.00625,0.00158,0.074259,0.057218,0.43944,0.31633
0.0019831,0.0003965,0.0012,0.00158,-0.078229,0.098384,0.59033,0.39949
0.0019831,0.0003965,0.00625,0.00158,0.065004,0.059908,0.50479,0.34785
0.00257,0.0003965,0.0012,0.00158,-0.1029,0.10574,0.53113,0.37182
0.00257,0.0003965,0.00625,0.00158,0.044684,0.065858,0.56309,0.41354
0.0031569,0.0003965,0.0012,0.00158,-0.12144,0.11144,0.42559,0.30315
0.0031569,0.0003965,0.00625,0.00158,0.026809,0.071142,0.71972,0.53952
0.0034,0.0003965,0.0012,0.00158,-0.12784,0.11346,0.42078,0.28705
0.0034,0.0003965,0.00625,0.00158,0.02002,0.073161,0.75736,0.49767
0.00174,0.0003965,0.003725,0.0008,0.13923,0.089707,0.39418,0.22662
0.00174,0.0003965,0.003725,0.00236,-0.0087925,0.058035,0.53179,0.39091
0.0019831,0.0003965,0.003725,0.0008,0.12756,0.093123,0.40725,0.31714
0.0019831,0.0003965,0.003725,0.00236,-0.020181,0.061243,0.62659,0.37498
0.00257,0.0003965,0.003725,0.0008,0.10297,0.10039,0.34879,0.30977
0.00257,0.0003965,0.003725,0.00236,-0.044302,0.068115,0.67644,0.40751
0.0031569,0.0003965,0.003725,0.0008,0.082457,0.10653,0.3725,0.25767
0.0031569,0.0003965,0.003725,0.00236,-0.064577,0.073982,0.6492,0.41464
0.0034,0.0003965,0.003725,0.0008,0.074927,0.1088,0.33547,0.21086
0.0034,0.0003965,0.003725,0.00236,-0.07206,0.07617,0.67113,0.40831
0.00174,0.0002526,0.003725,0.00158,-0.015387,0.058128,0.65213,0.36903
0.00174,0.0005404,0.003725,0.00158,0.078246,0.077131,0.58875,0.41396
0.00257,0.0002526,0.003725,0.00158,-0.051578,0.0687,0.52373,0.33793
0.00257,0.0005404,0.003725,0.00158,0.042641,0.0873,0.69028,0.46609
0.0034,0.0002526,0.003725,0.00158,-0.079709,0.077094,0.51652,0.31803
0.0034,0.0005404,0.003725,0.00158,0.014917,0.095382,0.7077,0.44345
0.00174,0.000193,0.0012,0.00158,-0.13864,0.079554,0.36038,0.2543
0.00174,0.000193,0.00625,0.00158,0.00028237,0.042736,0.20103,0.15707
0.00174,0.0006,0.0012,0.00158,-0.0062238,0.10714,0.4971,0.34881
0.00174,0.0006,0.00625,0.00158,0.13417,0.069189,0.44698,0.32803
0.00257,0.000193,0.0012,0.00158,-0.17687,0.091106,0.35433,0.24698
0.00257,0.000193,0.00625,0.00158,-0.029537,0.051583,0.28992,0.19367
0.00257,0.0006,0.0012,0.00158,-0.042962,0.11779,0.39717,0.27284
0.00257,0.0006,0.00625,0.00158,0.10484,0.077644,0.51656,0.36244
0.0034,0.000193,0.0012,0.00158,-0.20226,0.099148,0.33884,0.2164
0.0034,0.000193,0.00625,0.00158,-0.054383,0.059059,0.36456,0.25393
0.0034,0.0006,0.0012,0.00158,-0.067486,0.12523,0.3429,0.2266
0.0034,0.0006,0.00625,0.00158,0.080359,0.084793,0.56498,0.32522
0.00174,0.000193,0.003725,0.0008,0.028451,0.068344,0.65668,0.48664
0.00174,0.000193,0.003725,0.00236,-0.063096,0.04675,0.23636,0.1217
0.00174,0.0006,0.003725,0.0008,0.21729,0.10527,0.16728,0.082225
0.00174,0.0006,0.003725,0.00236,0.037834,0.06789,0.69036,0.45182
