-il,_it,_el,_et,pca_2,pca_1,fBD3,fBD2
0.00174,0.0003965,0.003725,0.00158,0.034923,0.068266,0.55165,0.20606
0.0018032,0.0003965,0.003725,0.00158,0.031835,0.069149,0.69723,0.5206
0.0019831,0.0003965,0.003725,0.00158,0.023388,0.071571,0.61168,0.44398
0.0022524,0.0003965,0.003725,0.00158,0.011648,0.074958,0.8224,0.34134
0.00257,0.0003965,0.003725,0.00158,-0.00097594,0.078628,0.38115,0.58849
0.0028876,0.0003965,0.003725,0.00158,-0.012448,0.08199,0.81407,0.72072
0.0031569,0.0003965,0.003725,0.00158,-0.021385,0.084628,0.73269,0.51117
0.0033368,0.0003965,0.003725,0.00158,-0.026991,0.086293,0.68381,0.26871
0.0034,0.0003965,0.003725,0.00158,-0.02888,0.086862,0.69957,0.4428
0.00174,0.000193,0.003725,0.00158,-0.038678,0.053485,0.26916,0.16307
0.00174,0.0006,0.003725,0.00158,0.094471,0.080488,0.4879,0.29912
0.0019831,0.000193,0.003725,0.00158,-0.050347,0.056887,0.27077,0.18695
0.0019831,0.0006,0.003725,0.00158,0.083075,0.083706,0.79374,0.50178
0.00257,0.000193,0.003725,0.00158,-0.074991,0.064149,0.35341,0.11827
0.00257,0.0006,0.003725,0.00158,0.058985,0.090581,0.60168,0.18729
0.0031569,0.000193,0.003725,0.00158,-0.095616,0.07032,0.43515,0.4488
0.0031569,0.0006,0.003725,0.00158,0.038787,0.096428,0.92617,0.25398
0.0034,0.000193,0.003725,0.00158,-0.10321,0.072615,0.14005,0.21194
0.0034,0.0006,0.003725,0.00158,0.031345,0.098604,0.6941,0.35043
0.00174,0.0003965,0.0012,0.00158,-0.065432,0.094663,0.48522,0.29359
0.00174,0.0003965,0.00625,0.00158,0.074259,0.057218,0.47074,0.41219
0.0019831,0.0003965,0.0012,0.00158,-0.078229,0.098384,0.64406,0.50429
0.0019831,0.0003965,0.00625,0.00158,0.065004,0.059908,0.5196,0.2694
0.00257,0.0003965,0.0012,0.00158,-0.1029,0.10574,0.57221,0.22707
0.00257,0.0003965,0.00625,0.00158,0.044684,0.065858,0.56271,0.16497
0.0031569,0.0003965,0.0012,0.00158,-0.12144,0.11144,0.58451,0.20318
