_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4
0.00174,0.0003965,0.003725,0.00158,0.04277,2.0298,0.15015,0.13431,0.18924,0.028147
0.0019831,0.0003965,0.003725,0.00158,0.053546,2.1236,0.15218,0.13944,0.17706,0.033216
0.00257,0.0003965,0.003725,0.00158,0.07741,2.3298,0.15656,0.15047,0.1517,0.034945
0.0031569,0.0003965,0.003725,0.00158,0.09858,2.51,0.16032,0.15995,0.13085,0.026232
0.0034,0.0003965,0.003725,0.00158,0.10667,2.578,0.16173,0.16351,0.12328,0.020505
0.00174,0.000193,0.003725,0.00158,0.050209,1.5962,0.15977,0.1217,0.15608,0.039093
0.00174,0.0006,0.003725,0.00158,-0.007531,2.4291,0.14193,0.14484,0.21546,0.005866
0.00257,0.000193,0.003725,0.00158,0.094193,1.9367,0.16653,0.13857,0.11907,0.025006
0.00257,0.0006,0.003725,0.00158,0.029649,2.6992,0.14817,0.1604,0.17774,0.030862
0.0034,0.000193,0.003725,0.00158,0.13178,2.2122,0.17197,0.15217,0.091113,0
0.0034,0.0006,0.003725,0.00158,0.061683,2.9256,0.15322,0.17298,0.14914,0.030996
0.00174,0.0003965,0.0012,0.00158,0.089957,2.8246,0.16512,0.172,0.071327,0.36649
0.00174,0.0003965,0.00625,0.00158,-0.016196,1.7337,0.14314,0.11738,0.23132,0
0.00257,0.0003965,0.0012,0.00158,0.11481,3.1734,0.17193,0.18956,0.03321,0.33975
0.00257,0.0003965,0.00625,0.00158,-0.0035998,1.9636,0.14831,0.13089,0.20047,0
0.0034,0.0003965,0.0012,0.00158,0.13273,3.4192,0.17679,0.20224,0.0094739,0.27883
0.0034,0.0003965,0.00625,0.00158,0.0077243,2.1704,0.15272,0.14242,0.17514,0
0.00174,0.0003965,0.003725,0.0008,-0.065621,2.7438,0.13552,0.15272,0.23477,0
0.00174,0.0003965,0.003725,0.00236,-0.013884,1.7202,0.15454,0.12386,0.1668,0.10419
0.00257,0.0003965,0.003725,0.0008,-0.043428,3.0167,0.14201,0.16955,0.19742,0
0.00257,0.0003965,0.003725,0.00236,0.0069568,2.0298,0.16057,0.1393,0.12864,0.13138
0.0034,0.0003965,0.003725,0.0008,-0.026777,3.2449,0.14715,0.18295,0.16908,0
0.0034,0.0003965,0.003725,0.00236,0.023591,2.2842,0.16545,0.15188,0.099636,0.13083
0.00257,0.0002526,0.003725,0.00158,0.0097764,2.0517,0.1624,0.14194,0.12773,0.029942
0.00257,0.0005404,0.003725,0.00158,-0.035918,2.595,0.14949,0.15732,0.169,0.033337
0.00257,0.000193,0.0012,0.00158,0.083199,2.8345,0.18118,0.17707,0,0.34495
0.00257,0.000193,0.00625,0.00158,-0.034146,1.5366,0.15785,0.11926,0.16719,0
0.00257,0.0006,0.0012,0.00158,0.013084,3.4971,0.16296,0.19953,0.058494,0.32528
0.00257,0.0006,0.00625,0.00158,-0.10588,2.3569,0.13913,0.14022,0.22517,0
0.00257,0.000193,0.003725,0.0008,-0.0095984,2.3559,0.15748,0.15333,0.14989,0
0.00257,0.000193,0.003725,0.00236,0.010237,1.7589,0.16767,0.1298,0.10384,0.14351
0.00257,0.0006,0.003725,0.0008,-0.12421,3.5385,0.1306,0.18162,0.23048,0
0.00257,0.0006,0.003725,0.00236,-0.05829,2.3036,0.15377,0.14748,0.14884,0.114
0.00257,0.0003965,0.0019396,0.00158,-0.0053649,2.8324,0.16466,0.17398,0.079543,0.19308
0.00257,0.0003965,0.0055104,0.00158,-0.084507,2.0469,0.14904,0.13512,0.18738,0
0.00257,0.0003965,0.0012,0.0008,-0.0026008,3.8715,0.1598,0.2156,0.080677,0.078544
0.00257,0.0003965,0.0012,0.00236,0.0048902,2.8456,0.17385,0.17362,0.0097412,0.55138
0.00257,0.0003965,0.00625,0.0008,-0.18192,2.6613,0.1321,0.14681,0.24348,0.0058379
0.00257,0.0003965,0.00625,0.00236,-0.10932,1.6663,0.15256,0.12155,0.1772,0.017799
0.00257,0.0003965,0.003725,0.0010285,-0.11434,2.7364,0.14666,0.16189,0.17665,0
0.00257,0.0003965,0.003725,0.0021315,-0.082775,2.0992,0.15843,0.14163,0.13178,0.10364
