_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00174,0.0003965,0.003725,0.00158,0.04277,2.0298,0.16087,0.1594,0.096832,0.10156,0.20264
0.0019831,0.0003965,0.003725,0.00158,0.053546,2.1236,0.16014,0.15894,0.10677,0.11333,0.18575
0.00257,0.0003965,0.003725,0.00158,0.07741,2.3298,0.15853,0.15827,0.12784,0.13776,0.14965
0.0031569,0.0003965,0.003725,0.00158,0.09858,2.51,0.15713,0.15803,0.14559,0.15771,0.11894
0.0034,0.0003965,0.003725,0.00158,0.10667,2.578,0.1566,0.15802,0.15215,0.16492,0.10752
0.00174,0.000193,0.003725,0.00158,0.050209,1.5962,0.17232,0.15617,0.040886,0.11799,0.18134
0.00174,0.0006,0.003725,0.00158,-0.007531,2.4291,0.15073,0.16183,0.14319,0.087901,0.2176
0.00257,0.000193,0.003725,0.00158,0.094193,1.9367,0.16993,0.15578,0.072382,0.15357,0.12695
0.00257,0.0006,0.003725,0.00158,0.029649,2.6992,0.1486,0.16022,0.17367,0.12449,0.1662
0.0034,0.000193,0.003725,0.00158,0.13178,2.2122,0.168,0.15613,0.097097,0.18008,0.083765
0.0034,0.0006,0.003725,0.00158,0.061683,2.9256,0.14684,0.15957,0.19754,0.15212,0.12529
0.00174,0.0003965,0.0012,0.00158,0.089957,2.8246,0.15633,0.14625,0.1831,0.21312,0.068773
0.00174,0.0003965,0.00625,0.00158,-0.016196,1.7337,0.16282,0.16146,0.063352,0.060263,0.25829
0.00257,0.0003965,0.0012,0.00158,0.11481,3.1734,0.15328,0.14587,0.21521,0.25112,0.011481
0.00257,0.0003965,0.00625,0.00158,-0.0035998,1.9636,0.16057,0.16067,0.089262,0.089387,0.21362
0.0034,0.0003965,0.0012,0.00158,0.13273,3.4192,0.15093,0.14692,0.23684,0.27456,0
0.0034,0.0003965,0.00625,0.00158,0.0077243,2.1704,0.15863,0.16034,0.11103,0.11306,0.17586
0.00174,0.0003965,0.003725,0.0008,-0.065621,2.7438,0.14276,0.16344,0.17831,0.077677,0.22816
0.00174,0.0003965,0.003725,0.00236,-0.013884,1.7202,0.16771,0.15464,0.061014,0.11235,0.19389
0.00257,0.0003965,0.003725,0.0008,-0.043428,3.0167,0.14005,0.16283,0.21016,0.11283,0.17311
0.00257,0.0003965,0.003725,0.00236,0.0069568,2.0298,0.16532,0.15274,0.091618,0.14921,0.14211
0.0034,0.0003965,0.003725,0.0008,-0.026777,3.2449,0.13784,0.16285,0.23512,0.139,0.12968
0.0034,0.0003965,0.003725,0.00236,0.023591,2.2842,0.16328,0.15191,0.11566,0.17715,0.10057
0.00257,0.0002526,0.003725,0.00158,0.0097764,2.0517,0.16509,0.15549,0.090723,0.14858,0.13205
0.00257,0.0005404,0.003725,0.00158,-0.035918,2.595,0.15008,0.15863,0.16199,0.12809,0.15959
0.00257,0.000193,0.0012,0.00158,0.083199,2.8345,0.16397,0.14228,0.15986,0.26818,0
0.00257,0.000193,0.00625,0.00158,-0.034146,1.5366,0.17112,0.15802,0.034811,0.10435,0.18852
0.00257,0.0006,0.0012,0.00158,0.013084,3.4971,0.14246,0.14745,0.2619,0.23693,0.025972
0.00257,0.0006,0.00625,0.00158,-0.10588,2.3569,0.14987,0.16156,0.13533,0.076596,0.22955
0.00257,0.000193,0.003725,0.0008,-0.0095984,2.3559,0.15688,0.1607,0.12886,0.13382,0.1359
0.00257,0.000193,0.003725,0.00236,0.010237,1.7589,0.17382,0.15019,0.049919,0.16167,0.12647
0.00257,0.0006,0.003725,0.0008,-0.12421,3.5385,0.12702,0.16439,0.2693,0.096612,0.19601
0.00257,0.0006,0.003725,0.00236,-0.05829,2.3036,0.15693,0.15433,0.12846,0.13831,0.15326
0.00257,0.0003965,0.0019396,0.00158,-0.0053649,2.8324,0.15347,0.1502,0.18124,0.20504,0.062822
0.00257,0.0003965,0.0055104,0.00158,-0.084507,2.0469,0.15847,0.159,0.099302,0.10024,0.19581
0.00257,0.0003965,0.0012,0.0008,-0.0026008,3.8715,0.13268,0.15608,0.3028,0.22513,0.017127
0.00257,0.0003965,0.0012,0.00236,0.0048902,2.8456,0.16108,0.13673,0.17607,0.25917,0.01531
0.00257,0.0003965,0.00625,0.0008,-0.18192,2.6613,0.14193,0.16181,0.16952,0.067706,0.24259
0.00257,0.0003965,0.00625,0.00236,-0.10932,1.6663,0.16619,0.15629,0.054926,0.10043,0.20003
0.00257,0.0003965,0.003725,0.0010285,-0.11434,2.7364,0.14549,0.15996,0.17854,0.12239,0.15876
0.00257,0.0003965,0.003725,0.0021315,-0.082775,2.0992,0.16202,0.1528,0.10123,0.14656,0.14033
