_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2
0.00174,0.0003965,0.003725,0.00158,0.04277,2.0298,0.16315,0.14502
0.0019831,0.0003965,0.003725,0.00158,0.053546,2.1236,0.16181,0.14754
0.00257,0.0003965,0.003725,0.00158,0.07741,2.3298,0.15897,0.15295
0.0031569,0.0003965,0.003725,0.00158,0.09858,2.51,0.15657,0.15755
0.0034,0.0003965,0.003725,0.00158,0.10667,2.578,0.15568,0.15926
0.00174,0.000193,0.003725,0.00158,0.050209,1.5962,0.17178,0.13191
0.00174,0.0006,0.003725,0.00158,-0.007531,2.4291,0.15533,0.1555
0.00257,0.000193,0.003725,0.00158,0.094193,1.9367,0.16761,0.14014
0.00257,0.0006,0.003725,0.00158,0.029649,2.6992,0.15131,0.16325
0.0034,0.000193,0.003725,0.00158,0.13178,2.2122,0.16434,0.14669
0.0034,0.0006,0.003725,0.00158,0.061683,2.9256,0.14816,0.16943
0.00174,0.0003965,0.0012,0.00158,0.089957,2.8246,0.15188,0.16487
0.00174,0.0003965,0.00625,0.00158,-0.016196,1.7337,0.16725,0.13641
0.00257,0.0003965,0.0012,0.00158,0.11481,3.1734,0.14721,0.17327
0.00257,0.0003965,0.00625,0.00158,-0.0035998,1.9636,0.1635,0.1429
0.0034,0.0003965,0.0012,0.00158,0.13273,3.4192,0.14396,0.17913
0.0034,0.0003965,0.00625,0.00158,0.0077243,2.1704,0.16034,0.1484
0.00174,0.0003965,0.003725,0.0008,-0.065621,2.7438,0.1491,0.16326
0.00174,0.0003965,0.003725,0.00236,-0.013884,1.7202,0.16801,0.13565
0.00257,0.0003965,0.003725,0.0008,-0.043428,3.0167,0.14457,0.17134
0.00257,0.0003965,0.003725,0.00236,0.0069568,2.0298,0.16374,0.14327
0.0034,0.0003965,0.003725,0.0008,-0.026777,3.2449,0.14099,0.17771
0.0034,0.0003965,0.003725,0.00236,0.023591,2.2842,0.16032,0.14936
0.00257,0.0002526,0.003725,0.00158,0.0097764,2.0517,0.16362,0.14359
0.00257,0.0005404,0.003725,0.00158,-0.035918,2.595,0.15215,0.15985
0.00257,0.000193,0.0012,0.00158,0.083199,2.8345,0.15514,0.15999
0.00257,0.000193,0.00625,0.00158,-0.034146,1.5366,0.17128,0.12991
0.00257,0.0006,0.0012,0.00158,0.013084,3.4971,0.13864,0.18325
0.00257,0.0006,0.00625,0.00158,-0.10588,2.3569,0.15504,0.15268
0.00257,0.000193,0.003725,0.0008,-0.0095984,2.3559,0.1573,0.15279
0.00257,0.000193,0.003725,0.00236,0.010237,1.7589,0.17014,0.13347
0.00257,0.0006,0.003725,0.0008,-0.12421,3.5385,0.13446,0.18437
0.00257,0.0006,0.003725,0.00236,-0.05829,2.3036,0.15716,0.15134
0.00257,0.0003965,0.0019396,0.00158,-0.0053649,2.8324,0.15015,0.16449
0.00257,0.0003965,0.0055104,0.00158,-0.084507,2.0469,0.16083,0.14453
0.00257,0.0003965,0.0012,0.0008,-0.0026008,3.8715,0.1314,0.19406
0.00257,0.0003965,0.0012,0.00236,0.0048902,2.8456,0.15237,0.16165
0.00257,0.0003965,0.00625,0.0008,-0.18192,2.6613,0.14878,0.1599
0.00257,0.0003965,0.00625,0.00236,-0.10932,1.6663,0.16729,0.13363
0.00257,0.0003965,0.003725,0.0010285,-0.11434,2.7364,0.14837,0.1632
0.00257,0.0003965,0.003725,0.0021315,-0.082775,2.0992,0.1609,0.14479
