_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3
0.00174,0.0003965,0.003725,0.00158,0.04277,2.0298,0.163,0.10609,0.18592
0.0019831,0.0003965,0.003725,0.00158,0.053546,2.1236,0.16182,0.1169,0.17551
0.00257,0.0003965,0.003725,0.00158,0.07741,2.3298,0.1593,0.13989,0.15348
0.0031569,0.0003965,0.003725,0.00158,0.09858,2.51,0.15716,0.15933,0.13496
0.0034,0.0003965,0.003725,0.00158,0.10667,2.578,0.15635,0.16653,0.12812
0.00174,0.000193,0.003725,0.00158,0.050209,1.5962,0.18012,0.093281,0.15612
0.00174,0.0006,0.003725,0.00158,-0.007531,2.4291,0.14818,0.11719,0.20892
0.00257,0.000193,0.003725,0.00158,0.094193,1.9367,0.17642,0.12783,0.1233
0.00257,0.0006,0.003725,0.00158,0.029649,2.6992,0.14468,0.15026,0.17705
0.0034,0.000193,0.003725,0.00158,0.13178,2.2122,0.17348,0.15504,0.097693
0.0034,0.0006,0.003725,0.00158,0.061683,2.9256,0.1419,0.17636,0.15213
0.00174,0.0003965,0.0012,0.00158,0.089957,2.8246,0.15354,0.19526,0.096671
0.00174,0.0003965,0.00625,0.00158,-0.016196,1.7337,0.16647,0.069779,0.22079
0.00257,0.0003965,0.0012,0.00158,0.11481,3.1734,0.14931,0.23112,0.062353
0.00257,0.0003965,0.00625,0.00158,-0.0035998,1.9636,0.16308,0.097897,0.19365
0.0034,0.0003965,0.0012,0.00158,0.13273,3.4192,0.14629,0.25573,0.039204
0.0034,0.0003965,0.00625,0.00158,0.0077243,2.1704,0.1602,0.12155,0.17095
0.00174,0.0003965,0.003725,0.0008,-0.065621,2.7438,0.13667,0.12566,0.22578
0.00174,0.0003965,0.003725,0.00236,-0.013884,1.7202,0.17312,0.095453,0.16851
0.00257,0.0003965,0.003725,0.0008,-0.043428,3.0167,0.13257,0.1603,0.19257
0.00257,0.0003965,0.003725,0.00236,0.0069568,2.0298,0.16935,0.12856,0.13632
0.0034,0.0003965,0.003725,0.0008,-0.026777,3.2449,0.12928,0.18743,0.16671
0.0034,0.0003965,0.003725,0.00236,0.023591,2.2842,0.16629,0.15482,0.111
0.00257,0.0002526,0.003725,0.00158,0.0097764,2.0517,0.16965,0.13183,0.13136
0.00257,0.0005404,0.003725,0.00158,-0.035918,2.595,0.14731,0.14764,0.16914
0.00257,0.000193,0.0012,0.00158,0.083199,2.8345,0.16569,0.21888,0.031416
0.00257,0.000193,0.00625,0.00158,-0.034146,1.5366,0.17925,0.086496,0.16224
0.00257,0.0006,0.0012,0.00158,0.013084,3.4971,0.13369,0.24189,0.084774
0.00257,0.0006,0.00625,0.00158,-0.10588,2.3569,0.14761,0.10803,0.21646
0.00257,0.000193,0.003725,0.0008,-0.0095984,2.3559,0.15788,0.14392,0.1466
0.00257,0.000193,0.003725,0.00236,0.010237,1.7589,0.18208,0.11892,0.11418
0.00257,0.0006,0.003725,0.0008,-0.12421,3.5385,0.11341,0.173,0.22349
0.00257,0.0006,0.003725,0.00236,-0.05829,2.3036,0.15722,0.13736,0.15401
0.00257,0.0003965,0.0019396,0.00158,-0.0053649,2.8324,0.15136,0.19525,0.096735
0.00257,0.0003965,0.0055104,0.00158,-0.084507,2.0469,0.16044,0.10801,0.18242
0.00257,0.0003965,0.0012,0.0008,-0.0026008,3.8715,0.12092,0.26004,0.094994
0.00257,0.0003965,0.0012,0.00236,0.0048902,2.8456,0.15982,0.21375,0.04942
0.00257,0.0003965,0.00625,0.0008,-0.18192,2.6613,0.1361,0.11517,0.23395
0.00257,0.0003965,0.00625,0.00236,-0.10932,1.6663,0.17202,0.089088,0.17399
0.00257,0.0003965,0.003725,0.0010285,-0.11434,2.7364,0.14119,0.15309,0.17389
0.00257,0.0003965,0.003725,0.0021315,-0.082775,2.0992,0.16515,0.13177,0.13801
