_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4
0.00174,0.0003965,0.003725,0.00158,0.041395,2.0298,0.086877,0.086096,0.054553,0.09914
0.0018032,0.0003965,0.003725,0.00158,0.044257,2.0547,0.086827,0.086076,0.056166,0.097093
0.0019831,0.0003965,0.003725,0.00158,0.052147,2.1236,0.086697,0.086003,0.060589,0.091477
0.0022524,0.0003965,0.003725,0.00158,0.063417,2.2217,0.086529,0.08586,0.066776,0.083624
0.00257,0.0003965,0.003725,0.00158,0.075925,2.3298,0.086367,0.08565,0.073479,0.075116
0.0028876,0.0003965,0.003725,0.00158,0.087652,2.4303,0.086236,0.085406,0.079619,0.067323
0.0031569,0.0003965,0.003725,0.00158,0.097034,2.51,0.086146,0.085179,0.084435,0.061212
0.0033368,0.0003965,0.003725,0.00158,0.10304,2.5607,0.086095,0.08502,0.087474,0.057358
0.0034,0.0003965,0.003725,0.00158,0.10505,2.5781,0.086078,0.084962,0.08851,0.056053
0.00174,0.000193,0.003725,0.00158,0.076566,1.5962,0.089356,0.094905,0.040483,0.0665
0.00174,0.0006,0.003725,0.00158,0.018792,2.4291,0.08496,0.078728,0.066349,0.12525
0.0019831,0.000193,0.003725,0.00158,0.092822,1.7038,0.089242,0.09473,0.046681,0.058654
0.0019831,0.0006,0.003725,0.00158,0.032905,2.5132,0.084778,0.078767,0.072215,0.11782
0.00257,0.000193,0.003725,0.00158,0.12418,1.9367,0.089026,0.094171,0.059923,0.041871
0.00257,0.0006,0.003725,0.00158,0.059637,2.6992,0.084414,0.078668,0.084759,0.10193
0.0031569,0.000193,0.003725,0.00158,0.1524,2.1372,0.088907,0.093529,0.071169,0.027626
0.0031569,0.0006,0.003725,0.00158,0.083822,2.8634,0.084169,0.078419,0.095425,0.088408
0.0034,0.000193,0.003725,0.00158,0.16551,2.2122,0.088894,0.093266,0.075343,0.022352
0.0034,0.0006,0.003725,0.00158,0.09541,2.9256,0.084108,0.078303,0.099385,0.083398
0.00174,0.0003965,0.0012,0.00158,0.12368,2.8246,0.083823,0.090496,0.10273,0.038248
0.00174,0.0003965,0.00625,0.00158,0.0040206,1.7337,0.087617,0.085916,0.034379,0.12472
0.0019831,0.0003965,0.0012,0.00158,0.10724,2.9412,0.083464,0.090046,0.10962,0.029382
0.0019831,0.0003965,0.00625,0.00158,-0.003283,1.8032,0.087385,0.085638,0.039342,0.11835
0.00257,0.0003965,0.0012,0.00158,0.11936,3.1734,0.083178,0.08911,0.12309,0.012196
0.00257,0.0003965,0.00625,0.00158,0.00094967,1.9636,0.087033,0.085101,0.050255,0.10443
0.0031569,0.0003965,0.0012,0.00158,0.1284,3.355,0.08307,0.088002,0.13356,0
0.0031569,0.0003965,0.00625,0.00158,0.0048893,2.1122,0.086751,0.084532,0.059944,0.092086
0.0034,0.0003965,0.0012,0.00158,0.12375,3.4192,0.083004,0.087467,0.13727,0
0.0034,0.0003965,0.00625,0.00158,-0.0012575,2.1704,0.086598,0.084231,0.063671,0.087304
0.00174,0.0003965,0.003725,0.0008,-0.074603,2.7438,0.082999,0.072575,0.075499,0.14422
0.00174,0.0003965,0.003725,0.00236,-0.022866,1.7202,0.087527,0.092174,0.044103,0.080878
0.0019831,0.0003965,0.003725,0.0008,-0.078253,2.8287,0.082755,0.072223,0.081781,0.13619
0.0019831,0.0003965,0.003725,0.00236,-0.027087,1.8173,0.087215,0.092091,0.050006,0.073331
0.00257,0.0003965,0.003725,0.0008,-0.067555,3.0167,0.0824,0.071489,0.095087,0.11926
0.00257,0.0003965,0.003725,0.00236,-0.017178,2.0298,0.08673,0.091883,0.062596,0.057301
0.0031569,0.0003965,0.003725,0.0008,-0.059413,3.1822,0.082137,0.070718,0.10634,0.10495
0.0031569,0.0003965,0.003725,0.00236,-0.0091444,2.2146,0.086374,0.091503,0.073349,0.043599
0.0034,0.0003965,0.003725,0.0008,-0.064587,3.2448,0.081994,0.070335,0.11053,0.099583
0.0034,0.0003965,0.003725,0.00236,-0.014212,2.2842,0.086201,0.091251,0.077384,0.038421
0.00174,0.0002526,0.003725,0.00158,-0.063746,1.724,0.087681,0.091162,0.045271,0.075834
0.00174,0.0005404,0.003725,0.00158,0.023074,2.3171,0.085465,0.080749,0.063097,0.11816
0.00257,0.0002526,0.003725,0.00158,0.10441,2.0517,0.088147,0.091475,0.064177,0.052392
0.00257,0.0005404,0.003725,0.00158,0.05869,2.595,0.084905,0.080555,0.081664,0.094605
0.0034,0.0002526,0.003725,0.00158,0.13875,2.3188,0.087945,0.090612,0.079487,0.032981
0.0034,0.0005404,0.003725,0.00158,0.089109,2.8271,0.08458,0.080073,0.096414,0.075894
0.00174,0.000193,0.0012,0.00158,0.1377,2.454,0.08604,0.099622,0.088121,0.0062381
0.00174,0.000193,0.00625,0.00158,0.03503,1.2666,0.09016,0.094297,0.020868,0.091347
0.00174,0.0006,0.0012,0.00158,0.077788,3.1761,0.081833,0.082595,0.11507,0.063551
0.00174,0.0006,0.00625,0.00158,-0.030879,2.1526,0.085542,0.078771,0.045751,0.15132
0.00257,0.000193,0.0012,0.00158,0.16001,2.8345,0.085715,0.097848,0.10928,0
0.00257,0.000193,0.00625,0.00158,0.042667,1.5366,0.089713,0.09329,0.037089,0.070679
0.00257,0.0006,0.0012,0.00158,0.089897,3.4971,0.081184,0.081836,0.1346,0.038661
0.00257,0.0006,0.00625,0.00158,-0.029072,2.3569,0.084935,0.078237,0.061273,0.13152
0.0034,0.000193,0.0012,0.00158,0.17461,3.0998,0.085714,0.095854,0.12402,0
0.0034,0.000193,0.00625,0.00158,0.049306,1.7727,0.089392,0.092257,0.05079,0.053234
0.0034,0.0006,0.0012,0.00158,0.097607,3.7251,0.080947,0.080585,0.14824,0.021219
0.0034,0.0006,0.00625,0.00158,-0.026837,2.5429,0.084483,0.077606,0.074394,0.11478
0.00174,0.000193,0.003725,0.0008,-0.0019248,2.0302,0.087059,0.084942,0.055721,0.094006
0.00174,0.000193,0.003725,0.00236,0.021469,1.4191,0.089409,0.099235,0.033045,0.057449
0.00174,0.0006,0.003725,0.0008,-0.1083,3.2956,0.080369,0.063393,0.090227,0.17904
0.00174,0.0006,0.003725,0.00236,-0.042612,2.0201,0.086062,0.086085,0.053809,0.10094
0.00257,0.000193,0.003725,0.0008,0.093998,2.3559,0.087196,0.083986,0.075785,0.068838
0.00257,0.000193,0.003725,0.00236,0.11383,1.7589,0.089273,0.099315,0.051725,0.033981
0.00257,0.0006,0.003725,0.0008,-0.020616,3.5385,0.080217,0.063382,0.10894,0.15551
0.00257,0.0006,0.003725,0.00236,0.045302,2.3036,0.085767,0.086692,0.071636,0.078571
0.0034,0.000193,0.003725,0.0008,0.10942,2.6226,0.086974,0.082497,0.091756,0.048577
0.0034,0.000193,0.003725,0.00236,0.12736,2.0329,0.088873,0.098524,0.066831,0.01473
0.0034,0.0006,0.003725,0.0008,-0.011804,3.743,0.079768,0.06263,0.12388,0.13648
0.0034,0.0006,0.003725,0.00236,0.055298,2.5399,0.085236,0.08633,0.086081,0.060168
0.00174,0.0003965,0.0019396,0.00158,0.047137,2.483,0.084987,0.087738,0.082871,0.063141
0.00174,0.0003965,0.0055104,0.00158,-0.022917,1.7987,0.087238,0.085579,0.039095,0.11858
0.00257,0.0003965,0.0019396,0.00158,0.078776,2.8324,0.084417,0.087102,0.1036,0.036782
0.00257,0.0003965,0.0055104,0.00158,-0.00036524,2.0469,0.086779,0.084984,0.055758,0.097405
0.0034,0.0003965,0.0019396,0.00158,0.10365,3.0938,0.084193,0.086059,0.1188,0.017443
0.0034,0.0003965,0.0055104,0.00158,0.019329,2.2658,0.086468,0.084277,0.069635,0.079773
0.00174,0.0003965,0.0012,0.0008,0.03608,3.5474,0.081021,0.073264,0.13006,0.075103
0.00174,0.0003965,0.0012,0.00236,0.041799,2.4902,0.083899,0.098656,0.087933,0.025515
0.00174,0.0003965,0.00625,0.0008,-0.13476,2.4579,0.083203,0.073863,0.053086,0.17254
0.00174,0.0003965,0.00625,0.00236,-0.060662,1.4244,0.08849,0.091,0.025496,0.1044
0.00257,0.0003965,0.0012,0.0008,0.040615,3.8715,0.080498,0.071751,0.15035,0.049189
0.00257,0.0003965,0.0012,0.00236,0.048105,2.8456,0.083226,0.097693,0.10807,0
0.00257,0.0003965,0.00625,0.0008,-0.032416,2.6613,0.083427,0.073482,0.069155,0.15248
0.00257,0.0003965,0.00625,0.00236,0.040155,1.6663,0.088544,0.091298,0.04062,0.085515
0.0034,0.0003965,0.0012,0.0008,0.144,4.0984,0.081006,0.070898,0.1639,0.032287
0.0034,0.0003965,0.0012,0.00236,0.15493,3.0973,0.083702,0.096989,0.12201,0
0.0034,0.0003965,0.00625,0.0008,-0.038048,2.8468,0.083031,0.072311,0.082944,0.13489
0.0034,0.0003965,0.00625,0.00236,0.033846,1.8816,0.088025,0.090636,0.053728,0.068751
0.00174,0.0003965,0.003725,0.0010285,-0.032797,2.4525,0.084606,0.077734,0.067432,0.12531
0.00174,0.0003965,0.003725,0.0021315,2.4029e-05,1.7915,0.087454,0.090754,0.046628,0.08492
0.00257,0.0003965,0.003725,0.0010285,-0.0028176,2.7364,0.084135,0.076952,0.086778,0.10074
0.00257,0.0003965,0.003725,0.0021315,0.028749,2.0992,0.08684,0.090535,0.065197,0.061337
0.0034,0.0003965,0.003725,0.0010285,0.0214,2.973,0.083857,0.076037,0.10206,0.081347
0.0034,0.0003965,0.003725,0.0021315,0.0527,2.3526,0.086472,0.089992,0.080013,0.042509
0.00257,0.00020849,0.003725,0.00158,0.049381,1.9664,0.088315,0.092921,0.061264,0.044117
0.00257,0.00031862,0.003725,0.00158,0.028183,2.1801,0.086864,0.088228,0.068786,0.062771
0.00257,0.00047438,0.003725,0.00158,0.003362,2.4755,0.085116,0.082334,0.078222,0.085522
0.00257,0.00058451,0.003725,0.00158,-0.011379,2.6725,0.084055,0.078606,0.084183,0.099495
0.00257,0.0002526,0.0012,0.00158,0.10178,2.9335,0.084596,0.094765,0.11375,0
0.00257,0.0002526,0.00625,0.00158,-0.015952,1.6623,0.088548,0.090385,0.041344,0.081028
0.00257,0.0005404,0.0012,0.00158,0.047782,3.4051,0.08138,0.083455,0.13158,0.031069
0.00257,0.0005404,0.00625,0.00158,0.010901,2.2466,0.08572,0.080379,0.058137,0.12442
0.00257,0.0002526,0.003725,0.0008,0.07345,2.5633,0.08581,0.080156,0.08201,0.086006
0.00257,0.0002526,0.003725,0.00236,0.10445,1.8361,0.088696,0.097274,0.054966,0.04147
0.00257,0.0005404,0.003725,0.0008,-0.011146,3.3988,0.080926,0.065716,0.10519,0.14629
0.00257,0.0005404,0.003725,0.00236,0.051334,2.2244,0.086193,0.08833,0.069029,0.072865
0.00257,0.000193,0.0019396,0.00158,0.13381,2.4743,0.087072,0.095882,0.089792,0.0038882
0.00257,0.000193,0.0055104,0.00158,0.055558,1.6285,0.089537,0.093361,0.042444,0.06389
0.00257,0.0006,0.0019396,0.00158,0.068519,3.1732,0.082543,0.080018,0.11504,0.063419
0.00257,0.0006,0.0055104,0.00158,-0.011184,2.4346,0.084826,0.078204,0.066804,0.12453
0.00257,0.000193,0.0012,0.0008,0.16567,3.2977,0.084993,0.084189,0.13094,0
0.00257,0.000193,0.0012,0.00236,0.14616,2.6111,0.085478,0.10513,0.097024,0
0.00257,0.000193,0.00625,0.0008,0.00040735,1.954,0.087416,0.084656,0.050677,0.10053
0.00257,0.000193,0.00625,0.00236,0.039291,1.3716,0.090241,0.097479,0.030467,0.060724
0.00257,0.0006,0.0012,0.0008,0.048398,4.3383,0.078065,0.063265,0.16437,0.085091
0.00257,0.0006,0.0012,0.00236,0.069902,3.0836,0.082038,0.091986,0.11745,0.020513
0.00257,0.0006,0.00625,0.0008,-0.13733,3.2067,0.080151,0.064436,0.083159,0.1879
0.00257,0.0006,0.00625,0.00236,-0.04764,1.9606,0.086506,0.085149,0.049841,0.10593
0.00257,0.000193,0.003725,0.0010285,0.029694,2.1796,0.087537,0.087332,0.069838,0.056016
0.00257,0.000193,0.003725,0.0021315,0.040034,1.8006,0.088723,0.097465,0.053983,0.03487
0.00257,0.0006,0.003725,0.0010285,-0.065105,3.2081,0.081411,0.068498,0.10011,0.13334
0.00257,0.0006,0.003725,0.0021315,0.056316,2.3964,0.085526,0.084772,0.074853,0.083868
0.00257,0.0003965,0.0013922,0.00158,0.12913,3.0732,0.083705,0.088635,0.11735,0.019518
0.00257,0.0003965,0.0027587,0.00158,0.08712,2.5611,0.085581,0.086216,0.087537,0.05726
0.00257,0.0003965,0.0046913,0.00158,0.046205,2.1594,0.086743,0.085298,0.062871,0.088524
0.00257,0.0003965,0.0060578,0.00158,0.02541,1.9839,0.087142,0.085257,0.051529,0.10291
0.00257,0.0003965,0.0019396,0.0008,0.078267,3.5209,0.081945,0.071808,0.12819,0.07761
0.00257,0.0003965,0.0019396,0.00236,0.10205,2.5183,0.085286,0.095567,0.089986,0.023027
0.00257,0.0003965,0.0055104,0.0008,-0.047499,2.7412,0.083169,0.072867,0.075233,0.14467
0.00257,0.0003965,0.0055104,0.00236,0.01981,1.7498,0.088101,0.091281,0.04581,0.078816
0.00257,0.0003965,0.0012,0.0010285,0.096191,3.5921,0.081861,0.078475,0.14007,0.033205
0.00257,0.0003965,0.0012,0.0021315,0.098272,2.9236,0.083476,0.095836,0.11173,0.0025468
0.00257,0.0003965,0.00625,0.0010285,-0.059441,2.3753,0.084672,0.07764,0.061937,0.13222
0.00257,0.0003965,0.00625,0.0021315,-0.012714,1.7343,0.087917,0.089457,0.043085,0.08933
0.00257,0.0003965,0.003725,0.00085937,-0.030116,2.9338,0.083046,0.073204,0.092632,0.11388
0.00257,0.0003965,0.003725,0.0012815,-0.0004178,2.5165,0.085102,0.081191,0.079939,0.086276
0.00257,0.0003965,0.003725,0.0018785,0.015563,2.1916,0.08645,0.088263,0.068726,0.066402
0.00257,0.0003965,0.003725,0.0023006,0.019672,2.0468,0.086934,0.091745,0.063164,0.058475
