_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2
0.00174,0.0003965,0.003725,0.00158,0.04277,2.0298,6381.2,1870.8
0.0019831,0.0003965,0.003725,0.00158,0.053546,2.1236,6080.3,2192.4
0.00257,0.0003965,0.003725,0.00158,0.07741,2.3298,5438.3,2879.1
0.0031569,0.0003965,0.003725,0.00158,0.09858,2.51,4893.2,3462.8
0.0034,0.0003965,0.003725,0.00158,0.10667,2.578,4690.6,3679.9
0.00174,0.000193,0.003725,0.00158,0.050209,1.5962,8108.6,86.267
0.00174,0.0006,0.003725,0.00158,-0.007531,2.4291,4908.3,3362.4
0.00257,0.000193,0.003725,0.00158,0.094193,1.9367,7146.8,1120.7
0.00257,0.0006,0.003725,0.00158,0.029649,2.6992,3994.1,4342.5
0.0034,0.000193,0.003725,0.00158,0.13178,2.2122,6385.7,1941.3
0.0034,0.0006,0.003725,0.00158,0.061683,2.9256,3269.7,5121
0.00174,0.0003965,0.0012,0.00158,0.089957,2.8246,3940.7,4451.3
0.00174,0.0003965,0.00625,0.00158,-0.016196,1.7337,7361.6,806.47
0.00257,0.0003965,0.0012,0.00158,0.11481,3.1734,2918.9,5535.1
0.00257,0.0003965,0.00625,0.00158,-0.0035998,1.9636,6557,1655
0.0034,0.0003965,0.0012,0.00158,0.13273,3.4192,2206.5,6291.1
0.0034,0.0003965,0.00625,0.00158,0.0077243,2.1704,5877.4,2372.3
0.00174,0.0003965,0.003725,0.0008,-0.065621,2.7438,3775.7,4496.1
0.00174,0.0003965,0.003725,0.00236,-0.013884,1.7202,7486.8,685.68
0.00257,0.0003965,0.003725,0.0008,-0.043428,3.0167,2788.2,5542.3
0.00257,0.0003965,0.003725,0.00236,0.0069568,2.0298,6556,1671.8
0.0034,0.0003965,0.003725,0.0008,-0.026777,3.2449,2008.5,6367.7
0.0034,0.0003965,0.003725,0.00236,0.023591,2.2842,5811.5,2460.4
0.00257,0.0002526,0.003725,0.00158,0.0097764,2.0517,6522.3,1709.7
0.00257,0.0005404,0.003725,0.00158,-0.035918,2.595,4303.6,3976.8
0.00257,0.000193,0.0012,0.00158,0.083199,2.8345,4589.1,3783
0.00257,0.000193,0.00625,0.00158,-0.034146,1.5366,8193.6,0
0.00257,0.0006,0.0012,0.00158,0.013084,3.4971,1405.7,7033
0.00257,0.0006,0.00625,0.00158,-0.10588,2.3569,5069,3126.3
0.00257,0.000193,0.003725,0.0008,-0.0095984,2.3559,5283.9,2980.6
0.00257,0.000193,0.003725,0.00236,0.010237,1.7589,7842.9,340.68
0.00257,0.0006,0.003725,0.0008,-0.12421,3.5385,920.42,7421.6
0.00257,0.0006,0.003725,0.00236,-0.05829,2.3036,5367.1,2858.9
0.00257,0.0003965,0.0019396,0.00158,-0.0053649,2.8324,3796.1,4535.9
0.00257,0.0003965,0.0055104,0.00158,-0.084507,2.0469,6184.7,1987.4
0.00257,0.0003965,0.0012,0.0008,-0.0026008,3.8715,0,8512.9
0.00257,0.0003965,0.0012,0.00236,0.0048902,2.8456,4204.7,4125
0.00257,0.0003965,0.00625,0.0008,-0.18192,2.6613,3969.3,4213.2
0.00257,0.0003965,0.00625,0.00236,-0.10932,1.6663,7550.4,552.91
0.00257,0.0003965,0.003725,0.0010285,-0.11434,2.7364,3707.3,4541.4
0.00257,0.0003965,0.003725,0.0021315,-0.082775,2.0992,6174.1,2006.1
