_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3
0.00174,0.0003965,0.003725,0.00158,0.04277,2.0298,4751.5,1215.5,2353
0.0019831,0.0003965,0.003725,0.00158,0.053546,2.1236,4481.1,1571.2,2286.1
0.00257,0.0003965,0.003725,0.00158,0.07741,2.3298,3905.5,2325.6,2147.5
0.0031569,0.0003965,0.003725,0.00158,0.09858,2.51,3418.1,2961,2034.2
0.0034,0.0003965,0.003725,0.00158,0.10667,2.578,3237.3,3195.8,1993.3
0.00174,0.000193,0.003725,0.00158,0.050209,1.5962,5646.3,1856.1,757.21
0.00174,0.0006,0.003725,0.00158,-0.007531,2.4291,3973.6,713.26,3654
0.00257,0.000193,0.003725,0.00158,0.094193,1.9367,4784.9,2985.5,555.05
0.00257,0.0006,0.003725,0.00158,0.029649,2.6992,3150,1804.1,3446
0.0034,0.000193,0.003725,0.00158,0.13178,2.2122,4105.7,3870.1,403.7
0.0034,0.0006,0.003725,0.00158,0.061683,2.9256,2499.7,2660.1,3289.1
0.00174,0.0003965,0.0012,0.00158,0.089957,2.8246,2524.9,4219.7,1696.7
0.00174,0.0003965,0.00625,0.00158,-0.016196,1.7337,5640.9,13.758,2588.6
0.00257,0.0003965,0.0012,0.00158,0.11481,3.1734,1615,5389.8,1491.2
0.00257,0.0003965,0.00625,0.00158,-0.0035998,1.9636,4924,934.2,2423.3
0.0034,0.0003965,0.0012,0.00158,0.13273,3.4192,986.4,6182.8,1365.5
0.0034,0.0003965,0.00625,0.00158,0.0077243,2.1704,4320,1705.7,2288.6
0.00174,0.0003965,0.003725,0.0008,-0.065621,2.7438,3370.4,339.34,4633.7
0.00174,0.0003965,0.003725,0.00236,-0.013884,1.7202,5339.8,1539,1359.8
0.00257,0.0003965,0.003725,0.0008,-0.043428,3.0167,2490.8,1470.6,4433.6
0.00257,0.0003965,0.003725,0.00236,0.0069568,2.0298,4504.1,2631.5,1151.5
0.0034,0.0003965,0.003725,0.0008,-0.026777,3.2449,1799.1,2352.3,4283.9
0.0034,0.0003965,0.003725,0.00236,0.023591,2.2842,3838.9,3492.6,994.43
0.00257,0.0002526,0.003725,0.00158,0.0097764,2.0517,4446.3,2783.7,1060.5
0.00257,0.0005404,0.003725,0.00158,-0.035918,2.595,3295.4,1953.4,3093.9
0.00257,0.000193,0.0012,0.00158,0.083199,2.8345,2467,6047.7,0
0.00257,0.000193,0.00625,0.00158,-0.034146,1.5366,5750.8,1611.4,835.95
0.00257,0.0006,0.0012,0.00158,0.013084,3.4971,809.83,4878.5,2794.3
0.00257,0.0006,0.00625,0.00158,-0.10588,2.3569,4137.8,407.82,3721.1
0.00257,0.000193,0.003725,0.0008,-0.0095984,2.3559,3761.2,2495.7,2067.1
0.00257,0.000193,0.003725,0.00236,0.010237,1.7589,5171.3,3105.4,0
0.00257,0.0006,0.003725,0.0008,-0.12421,3.5385,1518,771.54,6120.2
0.00257,0.0006,0.003725,0.00236,-0.05829,2.3036,3871.2,2236.8,2178.9
0.00257,0.0003965,0.0019396,0.00158,-0.0053649,2.8324,2438.2,4178.4,1764.3
0.00257,0.0003965,0.0055104,0.00158,-0.084507,2.0469,4607,1267.5,2364.4
0.00257,0.0003965,0.0012,0.0008,-0.0026008,3.8715,0,4767.9,3797.7
0.00257,0.0003965,0.0012,0.00236,0.0048902,2.8456,2354.7,5523.9,492.05
0.00257,0.0003965,0.00625,0.0008,-0.18192,2.6613,3561.5,0,4694.3
0.00257,0.0003965,0.00625,0.00236,-0.10932,1.6663,5426.4,1309.4,1434.4
0.00257,0.0003965,0.003725,0.0010285,-0.11434,2.7364,2950.6,1848.5,3511.7
0.00257,0.0003965,0.003725,0.0021315,-0.082775,2.0992,4275.7,2580,1383.5
