_il,_it,_el,_et,median,meanPt,stdPt,min,max, tsneDist
0.00174,0.0003965,0.003725,0.00158,-0.63126,0.041395,2.0298,-3.1458,8.5363,8.5363,5.8332
0.0018032,0.0003965,0.003725,0.00158,-0.63197,0.044257,2.0547,-3.3169,8.6843,8.6843,5.1805
0.0019831,0.0003965,0.003725,0.00158,-0.63378,0.052147,2.1236,-3.7857,9.0949,9.0949,4.3724
0.0022524,0.0003965,0.003725,0.00158,-0.63616,0.063417,2.2217,-4.4404,9.6714,9.6714,2.9127
0.00257,0.0003965,0.003725,0.00158,-0.63834,0.075925,2.3298,-5.1486,10.299,10.299,1.3015
0.0028876,0.0003965,0.003725,0.00158,-0.64002,0.087652,2.4303,-5.7957,10.876,10.876,0.32079
0.0031569,0.0003965,0.003725,0.00158,-0.64101,0.097034,2.51,-6.3021,11.33,11.33,0.77307
0.0033368,0.0003965,0.003725,0.00158,-0.64162,0.10304,2.5607,-6.6208,11.618,11.618,1.4208
0.0034,0.0003965,0.003725,0.00158,-0.64207,0.10505,2.5781,-6.7291,11.716,11.716,1.7506
0.00174,0.000193,0.003725,0.00158,-0.3567,0.076566,1.5962,-4.8884,7.4115,7.4115,8.9758
0.00174,0.0006,0.003725,0.00158,-0.85089,0.018792,2.4291,-1.7605,9.5417,9.5417,5.4756
0.0019831,0.000193,0.003725,0.00158,-0.35453,0.092822,1.7038,-5.5399,7.9984,7.9984,8.2938
0.0019831,0.0006,0.003725,0.00158,-0.84958,0.032905,2.5132,-2.3801,10.076,10.076,5.0931
0.00257,0.000193,0.003725,0.00158,-0.35261,0.12418,1.9367,-6.929,9.2674,9.2674,6.645
0.00257,0.0006,0.003725,0.00158,-0.85029,0.059637,2.6992,-3.7068,11.222,11.222,4.5637
0.0031569,0.000193,0.003725,0.00158,-0.349,0.1524,2.1372,-8.1008,10.361,10.361,5.4088
0.0031569,0.0006,0.003725,0.00158,-0.84922,0.083822,2.8634,-4.8316,12.212,12.212,5.0093
0.0034,0.000193,0.003725,0.00158,-0.34505,0.16551,2.2122,-8.5317,10.771,10.771,5.0105
0.0034,0.0006,0.003725,0.00158,-0.84616,0.09541,2.9256,-5.2466,12.588,12.588,5.2156
0.00174,0.0003965,0.0012,0.00158,-0.6616,0.12368,2.8246,-8.1843,12.752,12.752,4.7342
0.00174,0.0003965,0.00625,0.00158,-0.6237,0.0040206,1.7337,-1.006,6.7209,6.7209,8.3571
0.0019831,0.0003965,0.0012,0.00158,-0.69505,0.10724,2.9412,-8.9467,13.38,13.38,5.4512
