_il,_it,_el,_et,fBD_j2
0.00174,0.0003965,0.003725,0.00158,0.4191
0.0018032,0.0003965,0.003725,0.00158,0.43207
0.0019831,0.0003965,0.003725,0.00158,0.45617
0.0022524,0.0003965,0.003725,0.00158,0.48014
0.00257,0.0003965,0.003725,0.00158,0.4926
0.0028876,0.0003965,0.003725,0.00158,0.49412
0.0031569,0.0003965,0.003725,0.00158,0.48818
0.0033368,0.0003965,0.003725,0.00158,0.48104
0.0034,0.0003965,0.003725,0.00158,0.47678
0.00174,0.000193,0.003725,0.00158,0.18735
0.00174,0.0006,0.003725,0.00158,0.38316
0.0019831,0.000193,0.003725,0.00158,0.20366
0.0019831,0.0006,0.003725,0.00158,0.40463
0.00257,0.000193,0.003725,0.00158,0.22462
0.00257,0.0006,0.003725,0.00158,0.41993
0.0031569,0.000193,0.003725,0.00158,0.22555
0.0031569,0.0006,0.003725,0.00158,0.41578
0.0034,0.000193,0.003725,0.00158,0.21917
0.0034,0.0006,0.003725,0.00158,0.41266
0.00174,0.0003965,0.0012,0.00158,0.40792
0.00174,0.0003965,0.00625,0.00158,0.30507
0.0019831,0.0003965,0.0012,0.00158,0.38557
0.0019831,0.0003965,0.00625,0.00158,0.3364
0.00257,0.0003965,0.0012,0.00158,0.33773
0.00257,0.0003965,0.00625,0.00158,0.40126
0.0031569,0.0003965,0.0012,0.00158,0.30039
0.0031569,0.0003965,0.00625,0.00158,0.46258
0.0034,0.0003965,0.0012,0.00158,0.28344
0.0034,0.0003965,0.00625,0.00158,0.47588
0.00174,0.0003965,0.003725,0.0008,0.24318
0.00174,0.0003965,0.003725,0.00236,0.36053
0.0019831,0.0003965,0.003725,0.0008,0.24159
0.0019831,0.0003965,0.003725,0.00236,0.40097
0.00257,0.0003965,0.003725,0.0008,0.23796
0.00257,0.0003965,0.003725,0.00236,0.43133
0.0031569,0.0003965,0.003725,0.0008,0.22286
0.0031569,0.0003965,0.003725,0.00236,0.43393
0.0034,0.0003965,0.003725,0.0008,0.20546
0.0034,0.0003965,0.003725,0.00236,0.43472
0.00174,0.0002526,0.003725,0.00158,0.38892
0.00174,0.0005404,0.003725,0.00158,0.41287
0.00257,0.0002526,0.003725,0.00158,0.32657
0.00257,0.0005404,0.003725,0.00158,0.4562
0.0034,0.0002526,0.003725,0.00158,0.32591
0.0034,0.0005404,0.003725,0.00158,0.44489
0.00174,0.000193,0.0012,0.00158,0.25871
0.00174,0.000193,0.00625,0.00158,0.1461
0.00174,0.0006,0.0012,0.00158,0.33401
0.00174,0.0006,0.00625,0.00158,0.3075
0.00257,0.000193,0.0012,0.00158,0.2384
0.00257,0.000193,0.00625,0.00158,0.19825
0.00257,0.0006,0.0012,0.00158,0.26819
0.00257,0.0006,0.00625,0.00158,0.34576
0.0034,0.000193,0.0012,0.00158,0.21856
0.0034,0.000193,0.00625,0.00158,0.25756
0.0034,0.0006,0.0012,0.00158,0.22112
0.0034,0.0006,0.00625,0.00158,0.37157
0.00174,0.000193,0.003725,0.0008,0.44053
